"phi_valuesI[1]","phi_valuesI[2]","phi_valuesI[3]","phi_valuesI[4]"
3.93508982418018,5.2190591210321,1.91104168226094,4.53551863898376
3.29431808177449,6.22514061381497,2.54289329388353,10.3893002206659
3.64917509702153,4.93848263840149,2.88012979000314,13.1070091154776
4.20080407743818,7.53354101938109,3.68678220966048,5.35380293973814
3.28586739896316,6.62843782993038,3.68766703346462,7.36351588662211
3.55611234025266,5.33892516241545,2.56642689323845,7.27689576154365
2.91594650249891,6.4751302048732,2.18175321953369,5.5680059445122
2.76845633315155,3.88071296632947,2.78822488359087,4.79776614941847
2.65519212367056,3.76632172358374,3.27016405488258,6.03177746037925
4.940907373927,7.62466635757475,2.98590660367514,10.0872494111585
2.81585090128415,6.03112916744422,2.34324625292142,5.05404914313007
5.4412684600916,7.48465732369695,3.88730186045311,13.5460607188095
3.98264978767524,5.60942152697368,2.75996236585048,5.12281996478422
3.94425248239337,6.81943369403905,3.04514364417867,9.70455989057399
3.85185116020595,7.98664990427639,3.35858159451716,9.21613374556082
4.05012990631033,7.62565685678266,3.03471824924232,7.0544317660693
3.75324188779954,4.45176158543346,2.73847780131083,7.59481626080574
3.72817699439984,7.20884375524237,3.68346776322633,7.87669725741678
3.54773019855212,5.0872827093409,3.05418141883454,8.61042910488196
3.6690044757025,7.35685552578504,3.09736697556913,7.52137597404241
3.86282323126654,5.3434768343983,2.77593198324851,4.7372467715491
4.72335504632677,8.11203958862256,3.10895554711114,8.08563623778755
2.59907128881852,4.60661595332007,3.17156111199954,6.58154564017556
4.43679908707959,6.59842675443315,3.11697815599401,10.1087219472527
4.66815026942977,5.92033293556107,3.45646318249859,10.8511717536234
4.66624316153354,5.60254066597733,2.79930667803102,7.24747662457781
1.94931986192728,5.07245047319968,2.76609825113487,5.85281533975289
2.53882031499436,7.38272309467453,2.33807373123733,6.47606108417114
4.02047295011422,5.46687935509011,3.49467364671905,7.33595414966357
2.94971788907515,6.5711250265374,2.66944747466576,6.21691658583214
3.72167981895906,5.6302586094969,3.04187575542713,4.57112171877347
3.72120505866243,6.28184201926131,2.56280594848984,9.13087987639436
3.92599600576993,5.65252645283794,2.62682972473403,5.35094574052284
3.15166322937263,7.23617726923632,2.42542141417614,4.03385731208515
5.44031817140064,6.05829717786152,3.1687087558749,14.8803657765243
3.92105250975716,5.69518987360819,2.85133190522176,10.9917692771772
5.10477926391463,4.63653182613767,2.61919656780759,14.0670033205444
2.68916977213892,8.34608774349278,3.43221525279445,5.1225449448589
4.05317952399684,5.03898253426167,2.63410749886779,10.2802320109311
3.27568690687713,9.37835031223621,2.99718582412798,6.611539905302
3.62156274428966,4.61945295017705,1.91263751000636,7.4723005112942
3.46223575613376,9.79160925524937,4.73432959859462,7.26162156553225
3.27781365547009,7.67615478353172,5.43945805423396,8.81116518766362
3.86749478935566,4.94339802013374,1.95852158065889,6.79266056838179
3.97769383055677,7.46868074355067,3.13737809774459,4.60857212191364
4.27141114193905,6.08115690728196,2.97839366167578,2.97829561901983
3.19756033951246,7.31035773798826,3.1704464075966,14.8888360914306
4.03928753694185,6.97275909670789,3.88801264427043,15.0804527515648
4.0315153509697,4.98188213983421,2.63668065339739,4.45222859653951
2.78559411851804,7.88318983014176,3.46470480022409,9.1869663548199
3.33668708482356,4.62800040732927,2.68662458379826,6.66151089876075
3.58266225014112,7.23927405317324,2.40256568341261,7.83377156859329
5.43952500072968,5.3083546406449,2.74036060781245,8.46830337686153
2.72997776954141,5.97325556606828,2.27841337756549,7.78152307933299
2.73745463291881,5.53062330838147,2.5977412733506,8.40509634342524
3.58071995874643,5.91478897379168,3.42207524812011,8.17386464335991
3.92605667370667,5.51113243335649,4.33690185828235,5.95521766662578
4.26251130550549,8.32557895351255,2.36944732243428,9.09754599615535
3.35748142851618,5.82725292689347,4.04485654240447,6.29330876318696
3.91502458912126,5.65383111288719,2.34982266311639,11.4275638369288
3.52517155193811,5.17717313963533,2.52137377686771,14.4800006985967
4.20346351442688,6.76290497998849,3.06853722324055,6.2186386316996
3.15193266058729,6.6170923548431,3.87588734507788,10.6959840998445
5.1655502043973,8.75292820791239,3.31784867028702,3.92752324682467
2.87447743811118,3.92062683959891,3.09384076227626,10.2045542556678
4.39641691479444,11.2626711933933,4.11060068906423,4.07905267613063
3.20593998321187,6.51312139925991,2.34054339741792,11.8989591912742
6.06468095852461,6.27972038477511,4.08470300130926,7.04356168972546
2.50466787428151,6.22633386209035,2.47166674381495,8.48109556199921
3.18675507510317,6.39335783134951,3.55040992643342,5.74147776039878
3.9697592907281,5.90766467479575,2.70268018036132,12.7114579243958
2.89290761124281,5.80452917504514,3.28555892138726,4.17511129901
5.85056190752427,5.44263882525117,2.62182261687413,13.9557699096808
2.25993410226608,7.55985362488629,3.08126060970352,5.41021531090753
3.02557926644021,8.81766803732587,3.57862947779379,5.21196461640322
5.64424556164154,6.22864406171368,3.90201421709114,8.1942486553433
2.38733273482184,6.68622086345607,2.69775710049736,5.12287052231262
2.3637229662583,6.68725945823105,2.49030414962457,5.48072920557978
5.26320832111937,7.45351387413021,2.03087480921552,6.09476295690905
2.52320857097103,4.28242620791809,3.59806305698873,5.30539686217935
3.61396567585087,11.9272348189423,2.31953280910489,3.92976249375308
3.09457425225206,5.71138880569279,3.28784532717728,5.76087028326979
3.52643475689555,5.73236923339972,2.9258501624618,6.71042857515215
3.66550289995475,7.93069138205865,2.56935289419068,4.50396902235686
2.68170140298002,5.73584382475394,3.04680396294956,4.73533065973673
3.01008077629116,5.31133085792073,2.69335755837905,7.86634320847812
3.07850524321857,4.02543350228597,3.05193893529567,7.67697030221766
4.25173425620265,8.77539314164036,2.87137035198367,10.1891156779731
3.35013404418951,4.53388423888174,3.06591998199684,5.37633931507124
4.50207849873435,10.193861110117,2.45470528079621,11.2047014070064
3.11941907347146,5.41710405113503,4.04815932181891,4.55846540682176
4.33774636143945,8.13404276339604,2.91762154117222,6.10438430871796
3.12769861185474,7.72606807244896,2.78463780055116,5.18026816164452
3.27654309977508,8.0144679866432,2.91052077954301,2.88419914003171
2.9438953908508,8.00245772988539,2.9389265347707,5.12672000798831
3.64291818452363,4.60994331741778,3.05859457243497,8.90222811726627
3.19178882410266,10.209724787729,3.02381383172327,6.4993022123231
3.98905373529791,4.41732670630094,3.01696810590623,8.89955577647911
3.31639508937847,7.52558755997543,3.32427525707827,7.35572397558567
4.49124437457741,5.93953253531918,2.5221182288985,5.52562129046104
3.79136761742198,7.08318535129781,2.59255977192923,6.95943617179408
3.09050096521428,8.01360445057194,2.61117959293467,8.15109299060043
3.87512754115921,6.07851384825835,2.63159262583127,5.36862275785736
3.01760475609845,6.72267061477283,2.68931465484202,9.71672103377405
