"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
2.98384793789028,1.18279829932396,2.1600693915754,1.55598728393971
2.57962529130732,1.52269904292829,2.56986386961002,1.66378656599822
2.01457933631502,1.4841843806745,1.94565603118809,1.93726919959788
1.98382445322723,1.63435605203521,1.66712346008515,2.01535030684628
2.04686609654218,2.11708215161285,1.96932441703278,2.48706916117782
2.14111304212961,1.61362884789647,2.04616193025307,2.56363547679897
1.32876017464811,1.60982726352748,1.84890588478214,1.47240867312809
1.66405875079937,1.61901352406865,1.81694373517251,1.90821708327303
2.29069913250623,2.53099698475459,3.23979920123321,1.56603795006334
2.43597605060647,1.9380585930147,2.05726167827948,1.41900730099089
3.08492226844014,2.15489151485491,1.52332003914063,2.09773106066457
1.74851143284306,1.64588434086,1.75054566274899,2.15192952755896
2.16409635486785,2.05153940414755,1.21870508189281,1.92262167294422
2.40901527619978,1.94733176648488,1.4874372835551,3.36161221915262
1.46842860596443,1.78598349658954,1.58338561329842,2.63475904932377
1.26748590395911,1.77268003688914,1.76526805466584,2.81251176497066
2.0868451064629,1.82569894250342,1.45938697312656,1.41508364452321
1.82588595006055,1.75844561676722,2.01768314117284,1.36246212361505
1.79522369439218,1.868558819867,2.30355264612035,0.966259487282741
1.60565715650349,1.84038167747241,1.03088391928226,1.01493752291298
1.56485079603741,1.92643334189143,1.04535505738212,0.992795050869912
1.97245162581643,1.69610808570727,1.60919106464852,1.07072034187125
1.90153179393884,1.39446568357782,1.44158337010039,1.06940546527879
1.99453758523547,1.46793206619263,1.86703392731878,1.05248823432555
1.45190823595475,2.97120526109046,1.63600028373213,0.950521142315672
1.37165528817962,2.72984983289865,1.78338969697279,1.12715746096632
1.14181295673363,2.13157054600315,1.6127933337713,1.34597931697915
1.26659481350908,2.22559919316991,1.56030693253784,1.90795376311669
1.50534010161307,2.0713246234455,1.70228910674096,1.85876291707649
1.39467007528347,2.01354771263525,1.88899087388675,1.75687059046361
1.81775648369991,1.37404305870984,1.10091398598871,2.03171775247859
2.04553857127192,1.66892318849442,1.47648413860263,1.96634646523882
2.06785752823949,1.90274002072895,1.50829862549216,1.99890415413552
2.09191469828274,1.82252773051001,1.34180532168281,1.4971207350603
1.48293133940829,1.86853009357158,1.83979521802593,1.23769437647841
1.35933984321096,1.81272769652963,1.6007449465664,1.38145467249331
2.09356284677782,1.5525798970462,1.56552282996564,1.41222821173169
2.25809751546604,1.52897825448884,1.65031940907873,1.40828767614377
2.42109192853771,1.67403589737758,1.61303004316669,1.43545768496778
2.05441038059492,1.23671370106749,1.8176604788356,1.6011141461032
1.34108901093658,1.42654663824313,1.16634234946199,1.81086947439824
1.39679374598439,1.22940492924192,1.226222526729,1.63658706941647
1.40766410162594,1.26109982491362,1.43315286406307,1.3595538300241
2.35580415750124,1.43636195789742,1.88237254918019,1.15916618051777
2.2317443729564,1.4902155234823,1.4894398405808,1.40014483017915
1.66983166196938,1.74594690517607,1.48426128897399,1.5051980975277
2.58858934489692,1.54878405091252,1.99762547069172,1.35182209458984
2.08734699054741,1.27160487433983,1.41998278760473,1.8997339542994
2.76425167156054,1.41238554637667,1.63128981112674,1.74575770101638
2.70087564756241,1.27057645360935,1.7359615235172,2.03380721658023
2.29526999064379,1.45477125135513,1.29217100036782,1.82605976941747
2.25512921546474,1.01228535058046,1.99069410053647,1.2234049693112
2.3509963864226,1.11585470564848,1.57815498661245,1.67716667804982
2.49125090123443,1.06545935089602,1.65668092841986,1.48595950518098
1.75409060636954,1.083949475987,1.78494299504716,1.54723803445018
1.98245889734807,1.71141592157927,2.15175420246519,1.46653242198523
1.53628557118717,2.18558744453557,2.09463677127227,1.42248179470134
1.64467007018688,2.08549330741883,1.11932268423397,1.73990382368665
1.53779710920087,1.68559826699889,2.06950901344217,1.22133347925708
1.61365148351148,1.56945821509253,1.59232952315226,2.13246361216496
1.79157791765347,1.72236859553802,1.51171894380154,1.28978196520958
1.40983427320051,1.33054218669563,1.28792373537013,1.99459806772551
1.83882932904592,1.45943193949235,1.59398511713323,1.14510179101444
2.02562628204742,2.12533794785911,1.90465665947516,1.68121129007323
2.70903102437625,1.82370607498832,1.14019553796926,1.44471804131357
2.82262712707526,1.81267667625864,1.55464366406764,1.48827245858312
4.04593704221061,2.347852657971,2.11656718394038,1.4778680861572
2.43902371143076,2.21199558807255,1.58367914735841,1.78858081128333
2.47627331262465,1.76258542166059,1.38019173366795,1.16711777448096
2.88434195788777,1.98748784765024,1.35575116112645,1.32810915168149
2.81863391862871,2.00253730126106,1.35854386283184,1.3340760082579
2.10569291227819,1.41905619721283,1.50028675847815,1.55097261427151
1.70556982526264,1.38160846314426,1.25731006189444,1.56028745154769
1.96292153452259,1.7388317596294,1.60778098543835,1.34245534117459
1.6486976839153,1.32154314374477,2.12217126097165,1.3386179189324
2.04580604007841,1.59173866750061,2.10123366807679,1.14684284222749
1.3148153092388,1.21382788111054,1.23192656022448,1.90214615700657
1.43474079795099,1.69330337608487,1.41407949033986,2.05036680837427
1.2323214792075,1.60542801934215,1.60424509274232,1.97569406656518
1.27948317432521,1.93312968780937,1.76351727388321,1.95821984103701
1.20066042668103,1.71757362982988,2.24830501159793,1.74870247103297
1.94375591274234,1.65676297474788,1.6309519186307,1.75098344596485
1.87683113600351,2.0056665707373,2.25417038206697,2.14431091247294
1.5121006349001,1.83996761233862,2.29053766342066,2.1080104563283
2.43838206645747,2.08601028818832,1.32370425093071,1.53967782598593
1.95839249088064,2.3553574996424,1.83610337702467,2.05856122790637
2.35069583768047,2.1685859709361,1.40386096307978,1.49545799455801
2.79689714661715,1.47119835448791,1.76050829720381,1.72845260621863
2.93715628739759,1.9869125427979,1.8917589982598,1.39969316110188
2.10749269362813,1.83655832078867,1.78918765472243,1.76151064071913
2.29970510667479,1.55417256535004,2.11167230024222,2.07127856182194
1.28451998063371,1.53170132924756,1.72376407211775,1.33967250382439
1.42359219206741,1.71764081393448,1.7366083442285,1.24229093143386
1.44394190059867,1.70668391730417,1.61405271905369,1.46693180394378
1.67966492902182,1.56410035050269,1.53831955253093,1.3057343251457
1.85272916356853,1.74727371863649,1.80404369006958,1.55739746252353
1.86723930499116,1.3890680171617,1.57585011798066,1.50832170163553
1.73317088641024,1.71044326916319,1.66919393805367,1.63644041747183
2.80594425416376,1.48366111901433,1.29450435131196,1.83545221138103
2.59960210575159,1.47864054467636,2.48911850809044,1.83330538059479
1.38605954000527,1.67349476301601,1.52804679881133,1.54550182227635
2.07184322638655,1.36015985090915,1.68196994409719,1.90895356754265
1.08598474976971,2.14651965455523,1.18454974427839,1.51477946701457
1.21942111569955,2.19731015840764,1.72041268517334,1.53163794429376
1.27039325641841,1.88868890437975,1.6342017119701,1.54462828429196
1.54200456622749,2.32860556820671,1.57647084159078,1.69773847743187
1.7916190322556,1.79363164929087,1.58123124220681,1.3667945690979
1.3552233931234,2.05689989628537,2.03656188736953,2.01419156854745
1.41458264722633,1.92708266132596,1.97068387837164,1.9853024349928
1.69945789224125,1.64711230653624,2.15035588806057,2.49432610493892
1.09798145079119,2.04175502062832,2.3213296562348,1.86325489211805
2.21889386627363,1.17577423500916,1.94739897126428,1.14534408184812
1.37867310954116,2.01446351079304,1.52439429345228,1.36126363866082
1.44048756802297,2.00179685829785,1.62358497077694,1.13863272485771
1.52649945812133,1.96667409348989,1.572894781345,1.35444658322274
1.97757331799397,1.56244655984724,1.45753631350572,1.46575151327615
2.22400258781424,2.08139380876619,1.97623202948954,1.16600283414603
3.20099263709722,1.83221527520777,1.89068237082743,1.64563516148684
3.15653321786242,2.09119322828713,1.33999324612698,1.35710158430434
3.21927815207701,2.13685599535434,2.77456643327073,1.584042252806
1.73859591820507,1.52028484526104,1.78063219264787,1.33732959123397
1.63833798591089,1.85004529929007,1.70957669962572,1.55045491351945
1.52389982332877,1.83801378704232,1.54945867163273,1.55736975126456
2.61021221468267,1.69685984326985,1.71215852063353,1.28836007008262
1.91611001507076,1.67395049788194,1.64813737161604,1.62667786850732
1.510248514378,2.11465005107292,2.09992948189573,1.53598442339902
1.14023595206931,1.84070165975068,1.89425425952242,1.26680844014366
1.03863671112524,1.74726605819205,1.76428444610428,1.73783877426191
1.2466261226817,2.12904208182655,1.52352542145836,1.77765344185323
1.19356777147781,1.9611718244133,2.06356180479088,1.60878094916813
1.51111529837884,1.56049796041034,1.67552495756287,2.03165593879974
2.06474447832968,1.61725969955096,1.64445684082446,2.28845426011424
1.90792147824925,1.11768181128603,1.43916553874415,1.44433135979003
1.6368130993274,1.06446177446604,1.8084330940989,1.46622381335039
1.55019576075884,1.27948849389071,1.61611032050431,1.62650729454849
1.4829932904437,1.13921899686217,1.30455375508344,1.35419017181229
1.19492222849231,1.25324421306221,1.94641064261299,1.77701597283909
1.08439910626454,1.67016759223751,1.85804171204069,2.29655362592111
1.25722957355759,1.31742943686031,2.22375919981426,1.64295105917086
2.01351686788637,2.03783554345943,1.46822784436001,1.80722776040217
1.03863359508129,1.35397820540694,2.75011467552878,1.28281031124085
1.2400645869479,1.57738101702532,1.84990503305802,1.54211591778849
1.31015688813391,1.46057561031011,1.82656678002969,1.49173361429583
1.38120677921471,1.48563861217282,1.65164260488169,1.57689880983699
1.68149369750067,1.10585624442065,2.10182838448391,2.00490942897829
1.61021062091376,1.18257127754448,2.05838617355485,1.91268778612475
1.75145337123728,1.40487408616579,1.88784774445069,1.66731892604646
1.95948009236117,1.54950107181795,2.5530373915984,1.59224702228507
1.65946450641666,1.43197831907326,1.40051170030587,1.53791348892339
1.59604250319585,1.49880097104904,2.11162335160397,2.03058525261639
1.93225116635316,2.09918774561947,1.65533537605094,1.54798567267223
1.49983908150829,1.45170710224429,1.89701731807173,1.28187065711081
