"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
1.8311450270615,1.64776025060975,1.71547478653318,2.05943711242153
2.10982080820072,1.95227397589216,1.69955129462728,1.88745801741372
1.70836054290685,1.63669329218053,1.64038760767127,2.47528211140571
1.65838646084539,1.3896661075142,1.57871236244585,2.51346363498154
1.52376505918245,1.4414913859381,1.43968794604415,2.16537016769574
1.88739109919814,1.09873363915619,1.58041281948098,2.46202951537673
1.58159617044033,1.27710637755302,2.00551439968735,2.09972942708222
1.44077041339116,1.16122078784741,1.46617513591322,2.08791525348451
1.68126338996399,1.41746570885412,1.25489640359148,2.00034177534222
1.72279579182732,1.42781637652054,1.19006260579188,1.90679558280588
1.41365677400092,1.03350219015828,0.977310077813007,1.58684338607854
1.49023173638368,1.13779220755655,1.39135567967465,1.66591131743109
1.74959759129535,1.24065500651261,1.40058380563006,2.07014594626855
1.51547179926094,1.35492550077928,2.15353828525755,1.50558389231503
1.86846997632328,1.43252593034955,2.37536664080653,1.73109048386578
1.90568826281901,1.26026137662041,1.87435680409862,1.93723485024432
1.51118673403248,0.956936781303668,1.99468511216153,2.17352272682832
1.72416030189695,1.05809920213043,2.31324372796402,2.51636678559147
1.77474305353933,0.98113284796197,2.42456548171864,2.12499251027849
1.28424425996306,1.21137037382367,1.58552996994052,1.3839183460746
1.81327928989788,1.37180760811708,1.77818853224405,2.60085809706691
2.00860526453565,1.43786319688877,1.63891721334058,1.63610157980809
1.50422737750006,1.34403581013031,2.94464246871048,1.38327647907255
1.73205901460338,1.2805342645419,1.99305417717222,1.11743654617187
1.53214941830887,1.38912026751027,1.29482166090937,1.40766203361329
1.21973352127771,1.43163629204764,2.02660310939861,1.83654706320624
1.41204556516779,1.3861456600607,1.94473035067648,1.46310636852139
1.09292061166183,1.27986092048786,1.61401435482982,1.85086831957893
1.37006814422864,1.03177682287451,1.36173505780928,1.4628903127604
1.13138242617019,1.39899645765824,2.06689523299912,1.96678194272851
1.14251188129253,1.28312170555022,1.55906867953108,1.97564579913657
1.42395850303915,1.45192179784001,1.10999636562073,1.75232455330594
1.24764351370793,1.22644288579659,1.21504040415016,1.41133045727968
1.18800059080005,1.08660008655634,1.371754123139,1.23621825170717
1.47678034236826,1.33371859995761,1.430688366573,1.86482537381287
1.39220845350893,1.66273019615689,1.85933956046027,1.36491699034063
1.72208827706331,1.68054209972663,1.23316208878433,1.56653647756715
2.42492697431266,1.29087796692108,1.1112285131234,1.67560426978355
2.35450800863843,1.3909754410327,0.98765041173933,1.91753257854004
1.32166833935958,1.27624752052453,1.35032564640925,1.80781232834679
1.53062579840816,1.32988523422412,1.74192771808331,1.38095071629295
1.51277632622111,1.42081640082749,1.69646062183349,1.41731963952265
1.30658413486366,1.16861982087071,1.49817480986059,1.22053164185099
1.18454709335232,1.35872340013862,1.4551944779134,1.83149118280072
1.3482768319041,1.04122502687183,1.26359404178906,1.40724587523852
1.96978905751567,1.85356477119607,1.96308341906587,1.62930854787191
1.1260996176432,1.37588446740656,1.37513304999706,1.82730804964411
1.3319817452452,1.81073782330066,1.73033912332221,1.48811275396495
1.12652341373454,1.36701858357418,1.65803329394013,1.85208774671699
1.47045865520225,1.1925340184676,1.81909179069536,1.34812629301902
2.02476227630893,0.971456004144425,1.51562797900815,1.16214940157686
