"alpha2_day_out[1]","alpha2_day_out[2]","alpha2_day_out[3]","alpha2_day_out[4]","alpha2_day_out[5]","alpha2_day_out[6]","alpha2_day_out[7]","alpha2_day_out[8]","alpha2_day_out[9]","alpha2_day_out[10]","alpha2_day_out[11]","alpha2_day_out[12]","alpha2_day_out[13]","alpha2_day_out[14]","alpha2_day_out[15]","alpha2_day_out[16]","alpha2_day_out[17]","alpha2_day_out[18]","alpha2_day_out[19]","alpha2_day_out[20]","alpha2_day_out[21]","alpha2_day_out[22]","alpha2_day_out[23]","alpha2_day_out[24]","alpha2_day_out[25]"
0.485653133640626,0.358953067089246,0.0991273260868848,0.163702882690659,0.361325203101808,0.779769485736307,0.289088185915844,0.0494473973038041,0.367124542713606,2.22331771993484,0.124356966781673,1.58141967243542,0.974498989469731,0.299474206722084,0.0880807964787417,0.130420285234513,5.58575469193269,2.00362488566144,0.855336144818095,1.23381287617315,1.68169897245296,2.57827391111607,2.75415024296577,0.965668701064646,1.01700153376057
0.300661095037382,0.486135015346742,0.0717898681814735,0.614996687527114,0.192719538096225,1.64474206243525,0.512676923149972,0.0398205986348907,0.234128304765832,1.6379923945138,0.00581717896552226,1.5019944223745,0.494018587023414,0.457449852095332,0.0425667018229893,0.0274739272325371,6.82020384027082,1.64800370068445,1.07965208824733,0.794669438569878,1.3189430626244,2.17035852571899,2.42816969815842,1.35209064926449,0.756836530623219
0.500814325144478,0.402245837830672,0.0786307968606627,0.256322200876634,0.213101491744232,0.827013299021546,0.212250116129182,0.0810999821352647,0.349738168665027,2.25478643414513,0.100065488666882,1.55590233008504,0.600676914559796,0.353146280251079,0.158700058024565,0.0829911920115849,6.95372236658042,1.65868854759621,0.794729953424757,0.948142079079999,1.18210400025646,2.44920666203053,2.94717648877375,1.12821185893113,1.49516121904248
0.210615087971424,0.407657152223585,0.0530097776809234,0.520697228509691,0.304635966098887,0.997387386108888,0.362209087247816,0.240186721493673,0.198516430818611,1.76348802236753,0.014067822509322,1.4949550768933,0.722888392883718,0.22501451206834,0.314383155959839,0.0199612469651769,5.68197424445371,1.37569395241609,0.918386334778408,0.876030964677279,1.79261644250754,3.040189233952,2.58683902003075,0.876865665404363,0.840612640297044
0.252050024083804,0.33990691393485,0.0916060292436362,0.476068929697232,0.308746052362704,1.10679783711507,0.536406533467654,0.122398986661465,0.305292125264824,3.14585556271878,0.0194834940346859,1.65682554705833,0.789588751141926,0.231965680906892,0.301056156938309,0.0120939324362409,6.62860499488306,2.06638264168949,0.901508270691109,1.08416575136027,1.08540106922969,2.22134939100097,1.55642485304888,1.51379247601314,1.161151700563
0.702757344277572,0.498261695146676,0.0797562422495507,0.24403478391722,0.206921321020911,1.1805923375351,0.53922445499103,0.0385589294966695,0.136324996709486,2.43014129107805,0.0992516446912034,1.5828703959396,0.717321043789584,0.371472754952902,0.304048727026435,0.0905689928841579,5.44499197287078,1.83986809445262,0.948148150719456,0.947163299695887,1.91511972041408,2.38680612921544,2.94428616334699,0.864343024839743,0.635889258343121
0.136056993797518,0.306420184702307,0.0782459778576082,0.889631027585285,0.274836457332416,1.56030886593237,0.433775399970761,0.294705085253283,0.513778652987738,2.83474273741606,0.0229658977670118,1.74005768838324,0.859072248934348,0.59221954305412,0.405108994240021,0.0280467285951344,6.34224446559487,2.11782166584275,0.84926233695209,1.13593448046888,1.86991290558124,2.92763209859599,2.60765503562368,1.69777544659395,1.17870568530404
0.205702553682892,0.34400775541793,0.0498004836035355,0.315957189101799,0.250308051482004,1.33627992670555,0.12362788301242,0.0607292718867286,0.302962941858847,1.66717691394645,0.125221420622802,1.40394142648443,0.751222821432151,0.28437762518842,0.305724808614176,0.0887633447373252,5.23250489284208,1.27041785742155,0.799152786228305,1.15089098231588,1.42270170945956,2.40367890734256,1.78956507967811,1.21213562526024,0.677122163616949
0.726169010142411,0.454029197646408,0.0706048136810004,0.522145614521768,0.209913050286706,0.91155634431879,0.198935986212706,0.0168762878129625,0.23293318776362,2.65172250312361,0.00452267465633196,1.74034619287602,1.0101033212881,0.112662767990957,0.369755965361232,0.0256115263137102,6.39939887702955,1.61471831636592,1.32127494571885,1.18804198231493,1.62808332302844,2.72015220757762,3.06540380821587,1.02869701571542,1.09200588251557
0.277002011093395,0.493524903018249,0.0884614974797839,0.460301959095031,0.234819390413812,0.870286806866393,0.0863117008690503,0.395376696596086,0.338133746721751,2.15148335155896,0.156540541244597,1.51516899234726,0.647181116651818,0.533934125621944,0.197527147820854,0.0244099149023348,5.30786341304311,1.89248828441104,0.935957842954849,1.06327539382182,1.60940159153599,2.53263964483742,2.755512521489,1.19475173437764,0.842328840380554
0.199300161789598,0.420362177778955,0.0301849362763317,0.382347106206788,0.16937096751767,0.948044676405967,0.0699338770047422,0.195492838374281,0.350309304698928,2.86903320048581,0.0919779496377923,1.66346216258137,0.777642370372224,0.325731782039793,0.129275882075941,0.00937951518653182,6.26132471813573,2.03665159410419,1.00886682953828,1.10546397283551,1.60472957013517,2.37891123643682,2.34892452841703,1.0790414340951,0.840970692191163
0.402775092326212,0.356711989328596,0.088905290721019,0.440843550202909,0.29960679458737,1.135112380727,1.17895257389033,0.126905037995225,0.234342133728148,3.44908299916698,0.00823324686650497,1.48254130337038,0.553355800648242,0.423598079233152,0.158371108207585,0.066983639342241,6.097430297247,2.63101074222683,0.837062133432068,0.901523315233352,1.30502723969387,2.48318264202958,2.89292607431265,1.46936159996244,1.17042177559042
0.444511591958316,0.266006092087943,0.0496284507912203,0.628586824675128,0.365009447604314,1.18649181874196,0.50395901946222,0.343235542163538,0.35094076737749,3.49675374088949,0.0396701924371293,1.36476961977955,0.650003827877795,0.252922789961032,0.312894214010714,0.067110007625175,5.88450404603192,1.96321439085111,1.09938697455253,0.679055803927668,1.91279662845536,2.21956038475138,2.83693319369021,1.39771817601552,1.60339685370484
0.174423735401303,0.358095396380869,0.269907606183835,0.444701491318839,0.269939383299205,0.707044361886606,0.781924317422486,0.0933711712176545,0.390208450232976,3.48600030768386,0.0203220998749155,2.27782708645541,0.898455009722793,0.419606729338056,0.354543158762118,0.0273804092700169,5.64197055944844,2.48731195648949,0.84339396145002,1.13780041011561,1.30190055983433,2.50837776666538,2.68450750212636,0.964353294444466,1.17760298183689
0.65328544481108,0.366542236588398,0.02860759002355,0.440272167168629,0.196518549663545,1.29712697976672,0.160830243312697,0.0321261737283024,0.166329692487903,2.286498732846,0.0372727560036123,1.2051780899865,0.643969704033627,0.451555830015139,0.188759437093241,0.0693442339758571,5.89457655049472,1.57027085764364,0.965213070954835,0.883881601460996,1.22267621278917,2.34136926662063,2.1772025715349,1.3257103701208,1.12842870855534
0.235052677423016,0.435961485491365,0.141858028977541,0.545509614897408,0.223482103486571,1.51711188522339,0.501596601484226,0.0106435354615467,0.525368631870049,3.08738904471229,0.0170675728791338,1.2690474275723,0.807427866746651,0.297218545411312,0.0765059409975368,0.0253688305649091,5.0334020766641,2.06123905705331,0.951151153742005,0.657344841586509,1.36931965838388,2.24385542729065,2.61621492517115,1.14539535364378,1.07992517531289
0.407394528429314,0.411053142781655,0.0287179185119985,0.315896967216241,0.302909250311082,0.915724377877146,0.483365726196615,0.134246856114223,0.121143760900419,2.55764075451945,0.113638711608911,1.41469843551405,0.711592519330682,0.191543331090404,0.259705582518292,0.0689852274960445,7.2430359703248,1.51402182481668,0.687246795487547,1.17233130650406,1.47585863778663,2.7406405231248,2.42492894195208,1.47088743889046,1.36344158536397
0.331138197630601,0.275530758736578,0.0733756511558434,0.624237772574176,0.174693188584618,1.47184898823628,1.12297078497486,0.163412318562853,0.482329094959373,3.17350174010136,0.0140353557746131,1.49044544972694,0.904986779712788,0.614869510611138,0.315911002527082,0.0227440532387539,6.69549981867424,2.00350455809672,1.16495730518327,0.945164326781392,2.05318781067961,2.78798322490735,2.5559734869415,1.43269122393,1.15061660215353
0.382816089911105,0.548577888761199,0.070262143224515,0.503466149874476,0.338356035748989,1.1829513971224,0.80040660673574,0.152790122623833,0.185838608326402,3.10846101119123,0.170169950519093,1.68841865585819,0.757168420141053,0.513121516005981,0.23533229646793,0.0494548715515893,6.99004257369723,2.54066881444575,0.765434309371957,1.16057767352266,1.62693462553782,2.95056226290556,2.41282958199994,1.05832187282176,1.32881568767225
0.281253261584632,0.23736045080312,0.065889879365556,0.326395498819164,0.161513403435516,1.02408462395987,0.875597444095299,0.135745373799465,0.340042299672205,2.91480717405192,0.00483314333434917,1.66818374123451,0.560407162053822,0.306532321793932,0.232933184126409,0.0363941165524068,6.83361294924591,1.63456584290376,1.23444713128952,0.720988716692398,1.29335593671034,2.37599421016724,2.9235479796947,1.0843226676608,0.882664481265769
0.336999696553201,0.645867992493239,0.0796557142773442,0.307172062271283,0.236439434243521,1.42755041573937,0.597240856506078,0.251581983765368,0.259917379712893,2.31194883478079,0.036544983338004,1.19175884507977,0.706649289480928,0.467638790612135,0.192411737899889,0.0145681175185677,5.7683457872954,2.3154818429571,0.570410468987395,1.13143359121183,1.69731392877967,2.59510033018704,3.49893185423581,1.09518942300386,1.27532353549266
0.276804721656817,0.188489745063807,0.0527940348421251,0.583275114748482,0.212965662994554,1.02339689233587,0.322502708126432,0.109936874986969,0.215096845115701,2.48335696314568,0.0525751772228911,1.89140236534082,0.661936550645938,0.483435872790582,0.436291186302305,0.0359025043830747,6.29872651164271,1.79215852670322,1.43023213290809,0.844310651573526,1.7023207085934,2.6178110253416,3.34382221012534,0.934703577731383,0.909015151924807
0.270256586833675,0.578865697693708,0.0891526236714147,0.325215898177102,0.315955254577258,1.08560099799502,0.350940100213513,0.29958819206871,0.371854264951413,2.36050002227616,0.00368095562682697,0.959425030833093,0.793554263673703,0.368050920348522,0.129009978751328,0.0771496553867258,6.45826114315135,1.77828673994058,0.529753125928711,1.29115742727474,1.35185279200044,2.42120657557364,2.44560073857602,1.38759276495129,0.942833960340422
0.404176854303915,0.187776131868914,0.0153405739678248,0.585821472836077,0.157491635864651,1.28807708235852,0.695091859685531,0.0267878145057437,0.171611246349389,3.9402712432528,0.0938977033188608,1.36737254558531,0.605359457642092,0.336053041206231,0.0136249007173859,0.0109908611663299,6.28927073216959,1.98524113463976,1.40251426901216,0.752841228037377,1.68353385578092,2.53058884817057,3.3253176575217,1.12830345247717,1.27615781208948
0.470353650562843,0.168312721301043,0.0192264577347732,0.517373958762147,0.1318171295289,1.04451475894697,0.191401526146552,0.23367656368324,0.200060033074148,2.78929298209267,0.010728141284479,1.82168478724596,0.718823067088407,0.366419256296557,0.0921364896699962,0.0512523845804498,5.97735781974325,1.7615611190324,1.17874750684714,1.08963845504665,1.10491358259502,2.37741514600829,2.77715474832122,1.13661833780417,0.997840713003387
0.315858854126948,0.441244422252777,0.144981195171242,0.420753317567127,0.444612573231308,1.09782680561001,0.598918034520383,0.108182233263749,0.302395271511221,3.09471919538317,0.0696666999974186,1.30853901555593,0.746264113790704,0.502090637633159,0.077625423218906,0.0740992223370711,6.63774117365006,2.18207525860742,0.722155527002255,0.836095916948706,1.80152954628074,2.44730250221949,2.95036345527581,1.42598503868516,0.79511756664117
0.281476224081729,0.439311481172674,0.149932116109259,0.336117580708224,0.255969323808762,1.17947425239146,0.57629466467862,0.128409722961004,0.299779097006998,3.8470800570972,0.0524151016696722,1.19800265022974,0.927387899499157,0.507965928861967,0.0819052673361212,0.0503313953616685,5.79021888789086,2.03926743417209,0.879298154735434,0.90707806793625,1.85591923590767,2.22242824217868,2.55015039943377,1.23385699126623,0.768346521676456
0.386026484414481,0.38586657644362,0.0268024410735494,0.365669511864402,0.267310780887409,1.38279607255832,0.276042996435113,0.141390389270724,0.27651180836706,2.15513028733752,0.0334196224497042,1.18014737797161,0.747307427871396,0.493855900341761,0.228374372640317,0.0348461701827616,5.96390208858232,1.5562716942421,0.895644899814972,1.16726101705351,1.7737560496132,2.32677960985547,2.64578944968429,1.1088254082429,1.30275395904487
