"volunteer_effect_out[1]","volunteer_effect_out[2]","volunteer_effect_out[3]","volunteer_effect_out[4]","volunteer_effect_out[5]","volunteer_effect_out[6]","volunteer_effect_out[7]","volunteer_effect_out[8]","volunteer_effect_out[9]","volunteer_effect_out[10]"
1.44664566033962,0.891869374402449,1.33724239698589,1.35317881961926,1.02098144055287,1.62813596250173,0.396114568830484,0.826812558534938,0.81421887505457,0.747975651192854
1.52143353186212,0.822864316054745,1.20278231881993,1.33990906029641,0.963313204018783,1.29746045203063,0.42770572795564,0.869142787296347,0.75649293812546,0.638991040330035
1.4896618347577,0.984274718932612,1.36377393943075,1.49152562950752,1.26446825072689,1.62975580102509,0.492154631811709,0.974637950837905,0.800609049955354,0.743498464325391
1.51756197247198,0.96739697782012,1.12403487938984,1.18131545482485,0.91112725160257,1.35813085104654,0.436034863126905,0.998738817267549,0.824978641726105,0.753459571457678
1.47937350889543,1.05923154158209,1.41452984966335,1.4352207523973,0.969799660717409,1.41022893959918,0.429177428688302,0.977940845575453,0.91096613587173,0.708992562552415
1.58095050930614,1.00328527123337,1.29583872154591,1.3743393221853,1.06216597747532,1.52581705562504,0.418858156373105,0.948208864578233,0.905216366309142,0.777858708926473
1.63531573470935,0.928660810161565,1.30679445736096,1.50146813737721,0.977609919052523,1.74538784164408,0.451382746744973,0.932718342011155,0.704009989539836,0.609485519097515
1.63684379765499,1.01460058663716,1.26349004128592,1.34220684635316,1.00782131876174,1.37343345921754,0.443484650861642,0.893265047248981,0.790052811178474,0.787735252878959
1.5595884269082,0.9637195986452,1.30820601154105,1.42467391297363,1.07536091560819,1.66072320939087,0.576709779944195,1.03769069141418,0.857896399770624,0.852924939959355
1.87193986851171,1.2691658926124,1.64519431902883,1.81831192172217,1.2644515705358,1.78680796802455,0.584539803419399,1.13474528068651,0.989651724950455,1.0021589802392
1.86832069387962,1.263361068696,1.65732906878881,1.69988325502045,1.25338347743675,1.87681363672965,0.482067297866753,1.05416124663705,0.920048965193007,0.970978195577551
1.99232903085039,1.27887325132373,1.67869672166581,1.86126846748243,1.27848295660605,1.69785101079843,0.531091748366803,1.28160266750065,1.00322022182443,0.92608948942786
1.72547704408663,1.12739344449833,1.46128943291544,1.40418971498747,1.14863580047888,1.97453198254392,0.535539409280348,1.19823091121267,0.905764580155505,0.889372974011733
1.49415822913546,1.12686222435996,1.54143982154951,1.68855735555681,1.24119774288641,1.86264206771519,0.526351176681735,1.12374004275425,1.04280185129208,0.74302046002302
1.70538588298055,1.09833310314887,1.48542177315506,1.6673701568584,1.12485188978263,1.70031368914754,0.560878573594731,1.08873467277247,0.994670292403006,0.666482948197186
1.32945921038096,0.904486788374568,1.15902000339428,1.28824090067155,1.04609777043872,1.53087968330879,0.408315302339921,0.872481755815324,0.730073227386926,0.776375942086667
1.3290601641074,0.848421628193183,0.95380389229505,1.20590280210664,1.00597465124918,1.39665329913809,0.385562044827719,0.800093612948917,0.63940401713043,0.653044229515682
1.7596306890898,1.14178123114514,1.55532404000552,1.54834926888196,0.996675639179208,1.64436651112105,0.357495739455124,0.930780174690362,0.743326659975944,0.685778254222776
1.74257833525747,1.15931083632286,1.27721167659571,1.49161882538627,1.17351674010723,1.63317774562116,0.417113158956894,0.840322948162969,0.815219706362421,0.839199197164778
1.3280355948426,0.949739534649977,1.29122452609724,1.49094732469843,1.05954383882902,1.37176296428588,0.396891273219788,0.893293137325543,0.755802193465832,0.67743285981003
1.47302778725137,0.891027775878292,1.3419599606205,1.2288567189858,0.92247819274705,1.47099453075888,0.393277523706745,0.909452197371925,0.785588043905177,0.72881558071677
1.22431125395346,0.872636769051717,1.02422344249326,1.2725839454116,0.97421760555409,1.27323626710822,0.35281535973837,0.897615426044051,0.668319445278664,0.545996767044259
1.36965051996559,0.897397125593774,0.986068324529658,1.25607874225389,0.875401081424618,1.09879674142092,0.299002615097912,0.8200314031932,0.652541486559978,0.592301022487573
1.31259534477494,0.943278351948345,1.25974108337893,1.38530006752384,0.99362119279111,1.2892660990371,0.385516093477531,0.807505743285501,0.653079654062076,0.644964154667744
1.57738966498648,0.974548581014399,1.17006403179378,1.29938062544386,1.00800816352697,1.60513145075162,0.413840975018555,0.8875268351942,0.828080386673646,0.885362135737511
1.74639271483265,1.17055307344648,1.39646940818639,1.45631723632993,1.17394943018096,1.61938153480432,0.520681100526965,1.06845301962653,0.998390879264593,0.647799877762514
1.81131735776472,1.11511721095722,1.47234652137252,1.55655274767991,1.21874249083106,1.76475185490061,0.518672206591211,1.00283293573158,0.898344886328922,0.656842449594276
2.18921848728596,1.23894625855783,1.6970646501112,1.90597965735186,1.34443301414902,2.01014319324554,0.655987654897127,1.17078066220305,1.04576941214861,0.890689944485766
2.64401819106215,1.68391991850604,2.33540648089686,2.44007874723843,1.714969907708,2.84463355177094,0.55029428327304,1.67507845357443,1.32173607410495,1.20059633099637
