"kappa_out[1]","kappa_out[2]","kappa_out[3]","kappa_out[4]"
0.0991889754618452,0.230117847999765,0.115901587572623,0.285626591031967
0.0936165110035821,0.330673239559367,0.111896817029736,0.260209348105519
0.0725793998727005,0.304306861433873,0.0952087594176733,0.30614432338818
0.117735401774404,0.310744057995033,0.1269728900144,0.254182921004894
0.12089708436706,0.31920557537927,0.128573103262055,0.349650236440087
0.119141959143753,0.306303662656222,0.101079746820497,0.242860944081488
0.0353326042240182,0.217454664074436,0.0681816650199907,0.275678393507081
0.177670780436146,0.363460378896916,0.13853060380696,0.337351162370055
0.11682032100237,0.234482162836611,0.109155489297152,0.255800629422108
0.102616827648414,0.286578549703942,0.0932906705769184,0.299047133982102
0.100564579830512,0.267488431365223,0.091936236379283,0.304156043580281
0.0663796151058186,0.261279105847612,0.116114239457033,0.219138213614794
0.0562450884202708,0.223989216760622,0.114266765325397,0.258048832943092
0.0636178439971083,0.212618477333993,0.0769657537305461,0.263823952883936
0.12089421427051,0.292810524937164,0.0871802278167993,0.303279074510636
0.0465266433455969,0.285171578730375,0.113181418600136,0.241506590386835
0.116597635027124,0.272225633961786,0.107578381479923,0.279939861671797
0.0343841908054273,0.279296512352011,0.0942831161429005,0.243030146194897
0.0436052662513948,0.241791389392672,0.071329288121718,0.288918133799381
0.107661048691138,0.252101619479799,0.0956624165492972,0.22727684912142
0.0736397581170423,0.30156714542495,0.0793130982261357,0.239444525634991
0.0765277808827565,0.266653962292169,0.105293620107322,0.263012904752202
0.0589843368324855,0.342145375990793,0.0959731102515094,0.301645996143325
0.0846066732790825,0.237330146718701,0.169624015930277,0.228727600676194
0.115678369188063,0.23720535549208,0.0963823312833229,0.316572592066911
0.0618408050409348,0.328834564786274,0.133785706041931,0.267337836602027
0.06091452399576,0.340690421866691,0.126615387348124,0.263242493458067
0.0811361231851497,0.304166887852139,0.0767823923596827,0.262576391237108
0.0566457129512444,0.253959686029826,0.0621646881367789,0.300882819076493
0.075574776880299,0.238350471821077,0.108855462673678,0.241692584612837
0.112513556852662,0.312727362799075,0.0727491472587661,0.282661876075863
0.10929704646619,0.312690002778959,0.0721522917422196,0.281904954937571
0.080210655485754,0.221705144511019,0.0902788170229811,0.256394149475911
0.0632987867239616,0.305025639170752,0.0955177805382361,0.278887585820942
0.0590041850226199,0.269764165571965,0.060385355663593,0.304385804855805
0.0489983619384642,0.252548625528291,0.132684103603165,0.244016571374621
0.134250495381457,0.359943985817864,0.109819274253558,0.269527242757085
0.115729948436173,0.263771080264439,0.165144787097954,0.267340799409172
0.0708095283586796,0.258220505809967,0.0757662894406301,0.278073250994907
0.147804045776935,0.27399025728183,0.101099239524612,0.274179587785353
0.110009140357262,0.279820494321774,0.0964007672518002,0.272310122617642
0.107241552429156,0.408352590377107,0.144559097925958,0.349574204873207
0.0846521282145743,0.387257802952575,0.118700691602413,0.284878486932818
0.0929013674552458,0.366771830657556,0.116232669950424,0.289096765480456
0.113746745169655,0.240920541850764,0.122624691525326,0.300323803585005
0.123030897380766,0.357601950473488,0.102880225090724,0.277945170403771
0.106674527773317,0.271387371312996,0.136046643633775,0.292271667680878
0.0671281531691078,0.371968495148023,0.0990503099883837,0.287895941108529
0.100311355275689,0.261320987247654,0.113808396104946,0.349665082382576
0.085478387133089,0.315516132218893,0.0703479275882566,0.336567009227597
0.0951859494331137,0.305373302016326,0.119164363882534,0.299175933437565
0.071142351060285,0.364392612310034,0.118960264811919,0.356379397040704
0.0653304666867829,0.289035785365503,0.120991312618025,0.328097916737137
0.095819042776537,0.293081443248416,0.135994087334444,0.353877829478298
0.0999081662685257,0.290918854459894,0.117917570853112,0.363147508630672
0.0905958904520587,0.278202171862888,0.112613424467219,0.284153135036057
0.117546101806683,0.331686846628396,0.102096634947572,0.265195917433268
0.0808368279338087,0.259041840716434,0.090644005843713,0.296732190355588
0.101149934662135,0.332763384614845,0.09814584063196,0.317359856171482
0.109557387450295,0.317125022297281,0.0972046795822663,0.321188071037607
0.113885032724437,0.293484687865017,0.121894854312999,0.273265732100486
0.106474386512208,0.280793759606765,0.112791450520578,0.280781803362755
0.0838417863130116,0.323940125128883,0.0955062800492697,0.320020483002296
0.0877092558651098,0.235451293808744,0.12824866231027,0.282349154568293
0.0436538859660109,0.356566903151918,0.0987331815430075,0.294398513226013
0.15624269167936,0.255654179423931,0.122899834543912,0.29143861839906
0.0535878766810186,0.317109246921974,0.128239585763952,0.254420066016278
0.142748007853306,0.205976091677907,0.176109659459592,0.356112697841122
0.0630920339028612,0.313457674094988,0.0645841606249662,0.21830772413893
0.0557321316414256,0.268494657515963,0.0759405343033514,0.265534053509174
0.059041385275561,0.249347400220924,0.134630301400098,0.231342056230449
0.0932494504142311,0.249535070394152,0.131248849611909,0.237193793809129
0.094804122285247,0.31831861100572,0.110178541552388,0.282066965450168
