"alpha_day_out[1]","alpha_day_out[2]","alpha_day_out[3]","alpha_day_out[4]","alpha_day_out[5]","alpha_day_out[6]","alpha_day_out[7]","alpha_day_out[8]","alpha_day_out[9]","alpha_day_out[10]","alpha_day_out[11]","alpha_day_out[12]","alpha_day_out[13]","alpha_day_out[14]","alpha_day_out[15]","alpha_day_out[16]","alpha_day_out[17]","alpha_day_out[18]","alpha_day_out[19]","alpha_day_out[20]","alpha_day_out[21]","alpha_day_out[22]","alpha_day_out[23]","alpha_day_out[24]","alpha_day_out[25]"
8.69590537835296,6.66168756455038,10.6342044244621,8.81891670527654,5.16562215527641,5.22658078137622,9.69260636015168,6.94621058766561,3.23494145892526,12.2453333285834,5.33497437498439,6.30954124269466,8.67026855087734,7.58863986542354,6.8825352272852,7.42471665290009,7.9596614578933,8.94538011353464,6.61315821285715,7.09333708585689,8.08147396285886,7.7478641969362,8.72949965805307,11.634825796198,9.40984308339313
8.49373735465924,9.18641971488902,12.2286422693224,8.4007393254235,6.39651055942164,6.95722583849207,9.91391041977592,6.60050111849198,3.85509988880004,13.7188139259612,6.32778800062996,6.26801012433611,10.0570347538078,7.03789311395372,5.51092089341783,7.08788040121354,8.74330205464593,9.95042711657492,6.17458656015635,9.12213343838995,9.54976357459109,7.3584358514978,10.2713130710936,10.1858717244829,7.24497830542563
7.67777476721053,6.8875214675253,10.7173621176161,7.4416870388284,5.35828597763552,5.24170362367962,7.85566548503059,7.33783206544965,2.96530584367472,11.8066698109658,4.55239080460031,5.73977442719757,7.90141388359586,6.74233634673246,5.95943149869562,5.89050735642265,7.6996374426561,7.78658321060087,5.80216720136969,7.7321280989238,7.10464221309837,7.06095097567738,8.94394460051588,11.7359193899347,7.9309398612284
7.79098575174446,7.74715899045193,10.3812791991867,7.28594246671394,5.55334577797525,6.27335714071744,9.22979121793186,5.92455100062674,3.22794604782578,12.1766172032371,5.58897843443822,5.79700679264477,9.54369001160693,7.73794471663617,4.04907090812343,6.9043597225707,8.31350068746445,10.1555614393321,6.65599862476489,8.58913002417167,9.33262179829223,7.57879306218682,10.3690267442209,9.27448047024361,6.93859269680105
7.17006168725745,5.96922138437421,10.4196359269505,6.01608314107588,5.98337065814569,5.27204572052655,7.0997101961535,7.36187580323691,2.79879765482979,12.6930305953462,4.74316655214547,5.44689724581659,7.47055904222449,7.06194042620803,4.35306469977624,5.40775144555931,7.21882447123963,7.46451845109097,5.93172003782673,8.45949191909772,6.82466799023623,7.35537189669687,9.46365771955724,11.1784969345351,8.14898749385691
8.25775124926885,6.78606486592505,10.0932454646116,7.65388805215212,5.14999058969497,5.99287014737384,8.22736169882108,7.10915470727317,3.9787747499303,12.2300330382311,5.22005952401806,6.48858670343348,8.71332942621295,6.44816554984552,4.92832909364405,6.3174351397052,7.42003673167457,8.99633181808608,5.94433825606902,9.09376984406866,8.27113140604,6.56598638394323,10.1101322719404,9.54668642412885,7.81294546612464
7.81183943286885,8.83088307040102,11.5994861690879,7.83202362738641,6.93938875724197,5.97531491571477,9.15247991545555,6.59102623444202,2.78877638221964,11.2797164814565,5.5086677437795,5.7778809822486,7.96980246918629,7.27601884982275,5.68184172853051,6.69443644901672,8.30891767972486,8.28442630054907,6.01744274187561,6.96981617827186,7.19737376124543,7.52368596742239,7.8800697467059,10.8288949636817,6.92351679893958
8.50017628327029,6.06076343524235,9.76937564896417,7.11566413378285,4.75361578591411,4.37946951782655,9.9045739133077,7.43414542205876,2.46564591432802,11.7667940823978,3.91456743878431,5.16753654989954,9.38229444041664,6.95106361636593,4.39215678044585,6.38155958330255,6.70479367504522,9.7599083357176,5.14064161234586,8.37872724194106,8.32301484853253,7.09102423821377,10.3276035228298,11.1007614416943,8.30595523226689
6.80184678655505,7.60799129798177,11.4531438015063,6.64396851650289,5.62197099898858,5.88211470636845,7.31281502223445,5.7141161343932,3.01505197858629,13.553717916702,5.04477581680198,5.56520711919895,8.13276653075458,6.96392674371729,4.29546306214829,5.7345435294502,8.80151233938368,8.02078273637861,6.85393906890226,7.41109967108452,6.78647034108858,6.37562904583791,7.89634736299217,9.91643362698374,5.92542951802021
7.44284474986043,5.47460811774404,8.97556600516593,6.59794035350682,4.65970248827664,4.05849735675974,6.88958139363285,5.529348599531,2.71726980583906,8.68530311089619,3.82094348482496,5.17496251541572,7.36899852597857,5.84664658529305,4.67373112628383,5.35425663099143,5.40999181094781,7.91716741437401,4.15594437965439,6.78474434097363,6.83865814348879,5.839730570222,8.07553689353071,8.70344517950443,6.69792336883323
