"beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
0.219083768369115,0.181051603439934,0.0753303054107868,0.121744309277791
0.195083033941558,0.168975623436727,0.0996132837044371,0.144415075483298
0.179920293157976,0.191287429211179,0.0952473715762794,0.13163877590599
0.207228651847147,0.187275959734442,0.105926968874204,0.139004798478225
0.178041623639378,0.175494423584788,0.113874224127894,0.148130352062592
0.246348285905332,0.195339943050882,0.077143227790878,0.133236427834728
0.201212200204404,0.156600298284703,0.0979830999700715,0.123447010646212
0.244934086788771,0.183745191390851,0.0981294246966131,0.133980705106417
0.169770732792157,0.158759252033464,0.0937168476794176,0.136831438958487
0.16195862167568,0.206855058096245,0.0927475057670504,0.142009430120405
0.223295106560682,0.153104624300075,0.0877365910967678,0.128411407784029
0.164477921396299,0.198254426135435,0.0927427525070826,0.131694196453977
0.186714744524667,0.158714278342014,0.0975101828376964,0.132161293796034
0.19262702750419,0.158609437492129,0.108976610066166,0.127716711157442
0.199231223229036,0.153516628170435,0.0834781507074898,0.13463676412659
0.217998192880242,0.152602917996153,0.0744047655726226,0.123053348050458
0.19797450229149,0.158920582758889,0.0872901349947473,0.136551218292509
0.154048502672392,0.186023744204539,0.101751540507446,0.122811623316533
0.189756535661306,0.158953726135506,0.10094323888196,0.144262309214899
0.20021089185197,0.157782440737081,0.0918764803661105,0.135665216184182
0.165507519217743,0.187383438705433,0.0989629831381635,0.132016458611238
0.223274875776207,0.175488190137088,0.0934820048193938,0.135747858403387
0.212222302363956,0.161428031869972,0.0906172166414641,0.138071859290945
0.226287737348177,0.179608987493014,0.101468760898467,0.150657835606394
0.198164087593399,0.190550197600524,0.0907062247293044,0.137073598125397
0.20306318556181,0.175275872472423,0.100299218832378,0.14664084369745
0.216583719070881,0.183921276042928,0.0962661038015402,0.146039650301796
0.167079607033175,0.163849207144515,0.117391466979978,0.122981940824593
0.170119696198274,0.182070798298456,0.106487284881579,0.131975349948953
0.175029287593729,0.172746314900277,0.10589393828155,0.132920825578359
0.180354896136923,0.192479334076987,0.096131382235562,0.119491965259909
0.175460224821337,0.153543011074601,0.0949281650361467,0.123757010477126
0.202125333330266,0.184768402561749,0.088006366142394,0.142507126869287
0.197375126389697,0.178372377332285,0.0964082683628777,0.156273694095331
0.194399344170759,0.153016925711344,0.111229329258038,0.125056320062725
0.164853845332625,0.171714603860363,0.105318892287301,0.121263787265664
0.188898233439251,0.193842289082811,0.0876467823872195,0.137171487292967
0.211426961658731,0.162890609945249,0.0991402616565595,0.14788266541076
0.189711057137049,0.194418620526891,0.0968979732788717,0.142428725450127
0.212550490299725,0.163829106020944,0.0957555488956654,0.128587928385767
0.217044576976959,0.185007169982262,0.111402735946202,0.15534544340431
0.161202059881903,0.141904425171737,0.100031271599653,0.151620603074659
0.177515715493447,0.162618047012343,0.0842261779811421,0.137349877492513
0.190976696053945,0.164043645130591,0.11693564664725,0.155782303603216
