"sigma_kappa[1]","sigma_kappa[2]","sigma_kappa[3]","sigma_kappa[4]"
1.4046899587895,1.07716153199677,3.33424112595479,1.33242057340471
1.45501189174474,0.967795941601262,2.88520603121352,1.35279304754139
1.63307339859737,0.869379636128227,2.49064560577259,1.30686465534927
1.68760296667996,0.897085699188596,2.60167441483904,1.23128288803881
1.25999594648484,1.07892325010956,2.03966428977725,1.3401907902994
2.2623106049223,1.27363453809475,2.76062997473803,0.955030325321708
1.04692247530528,0.962312574703578,3.00740045972955,0.924378688743167
2.37766354367716,1.15450127657555,2.30566046659193,1.08661474106893
1.47631806398138,1.27246930058578,2.40380278249829,1.13194098841143
1.74398210429307,1.40364072306559,3.11869293951217,0.70222901725735
1.47052318717923,1.1743191690186,3.11570368959619,1.07494459343645
1.64083667191191,0.915326327833535,1.83640583637613,0.774455096442181
1.99534503679891,0.927569111391037,1.8762473572443,1.04708461175169
1.93157125141771,0.913258418484825,2.11177782359045,0.986735302640019
1.47655429483021,0.912498349598557,2.46389052313151,0.796363901811297
1.41212128065114,0.984558895684478,2.168881617178,1.00676100013666
1.12869540983506,0.965099153360569,2.25004552577396,1.5248065975264
1.24507142172524,0.923469371325921,2.02731917200192,1.77352204342379
1.36708668247979,1.31161585387168,2.13632644223169,1.4284810805268
1.598865077587,1.25990149663961,2.03403389299801,1.2941299208659
2.24654590240266,0.951086634975392,2.21128093975929,0.961717157387421
2.31386067211074,1.00866023665065,2.72295446030324,1.12544117813172
1.3307326087895,0.843955979828015,2.36716730305039,1.23196046599145
1.5013060564796,1.26043631482533,1.66205689739036,1.14017742718619
1.197423006689,1.12028384907524,2.1855886148745,1.31171931007189
1.37254683176682,1.10891720717033,1.36472234691343,1.09198185195893
1.23572193170232,1.27822482497153,3.01053496377172,1.03093444844914
1.38482634701291,1.62027489134425,2.59154417806964,1.04024800631365
1.49662390793868,1.43066883244549,2.63472025309917,1.0792995016021
1.70187813671637,0.846667869564982,2.27031954462411,0.856978250181379
1.3733721711387,1.22923838243906,3.51873426124662,1.36421650550826
1.48510935259959,1.06365456724671,3.55428598287255,1.20338857127069
1.58040845192659,1.10756251199157,2.30531938565543,1.13389738673143
