"sigma_beta[1]","sigma_beta[2]","sigma_beta[3]","sigma_beta[4]"
0.843910862410125,1.4713225029806,2.77006593073952,1.43770909586245
1.02801558302633,2.08295532896124,2.19198731812069,0.701698912751832
1.00698571568994,1.95037635858864,2.5481248902494,0.987802486491855
1.05569031565922,1.98661139535505,2.02422358190196,0.905357506956546
0.845544583695078,1.78829376063943,2.0507172788526,1.15885627026445
1.8435296943829,1.93226232161508,1.9268857521056,2.90380228419785
1.16409644440054,1.54367777640756,2.82697969803967,1.0009350800396
1.28053736769124,1.38423574037531,1.93944850400031,1.50629479724223
1.0457671390776,1.22537380566213,2.59248185089166,1.45862902460631
1.16216540800623,2.13637454113134,2.22267894360648,1.66753002539996
1.29826597211421,2.31918965690575,2.29148934233904,1.51272399549331
0.936396035318698,2.39333666524888,2.41629751359734,1.73603260997708
1.78493098486381,1.85911050319085,1.60880797335554,1.00487677833998
1.25422753195704,1.74932732593205,2.03309388515431,1.93321739927652
1.73976125970335,1.75488494792919,2.10744217226801,1.37818708230179
1.4294899203309,2.89022106008372,1.87696199773549,1.71952099235241
1.46331934219047,2.33675099727145,1.96824405581074,1.3040177235704
1.3926759799345,2.70375995031295,2.18329455289581,1.24265899394293
0.851065894394147,1.73084213915172,1.73834228170431,1.30910696460888
0.955342420071725,1.80728322632663,2.651518423852,0.935871018935611
0.814141708068072,1.72294693541309,2.91919406495333,1.1505582805112
1.02729663152772,1.84877723414109,3.05196306432921,1.25932030199692
1.39226635883758,2.23640039754783,1.93289346651184,1.22464146861267
1.84568252620423,1.90024595581465,2.06194865257955,1.39897887757291
1.15582352613022,1.95614385581949,3.12777940662449,1.25682753184023
1.14410579278379,2.25882796245872,2.86268724643127,1.97071202278556
1.30691503668323,1.60733171837145,2.61460846990314,1.43854849333021
1.11636779505764,1.69606611107984,2.21885360326141,1.34280834951712
1.33100960065183,1.76796533548061,1.76132757089223,1.50269205396995
1.0320324421095,1.76601411538075,1.32055954725195,1.18926436361233
1.03045944028504,1.82496842677109,1.58305605761811,1.1457304162679
1.08007333349902,2.60116962776748,2.06806198510922,1.45947811850997
1.21553290795018,2.10659669475351,2.10445250732295,1.7826629454052
1.39856571535479,1.73655395584713,1.8341647996253,1.57377359319379
1.45128564350407,2.13302791780161,2.62031148311469,1.206962368067
1.64406814096763,1.88924534796366,1.97164942091085,1.17489530910561
1.11573806754453,1.38393323019472,2.30438879465766,1.03354393330472
0.99625338309295,1.36630013376372,1.86160550232798,1.13871612582954
0.829235660772917,1.62695888338738,2.02767695985927,1.57920478769811
1.48081476680952,1.36265657344451,2.26794342990114,2.16930679369207
1.41102889873597,1.32395516919323,2.16373201272631,1.88260813358531
1.02654297479188,1.64825659133307,2.9610213251071,1.58674592206961
1.32814667332726,1.89709765687671,1.5972185496607,1.43849702868163
1.08777141951703,1.2487728602636,1.70966548750007,1.60017331411973
0.870971411901769,1.23856191513835,2.94550406736313,1.71294659051349
0.911780650802216,1.98649362008482,2.21157340516459,0.684803981929494
1.27472066703682,1.64660320947583,2.55596605523368,1.11070917195361
1.45492331151829,2.59108356869158,3.74839881248124,1.56616435432836
1.41550873350926,1.690167952429,3.81295403539574,1.50184322467792
1.21333268847657,1.54863327492034,2.88241129314419,1.37281189247853
0.900115235623069,1.87845492822428,3.20234986335202,1.59268013438252
0.758426122246957,1.96130907360322,2.76770208002735,1.37143103067138
1.59599215330552,1.93625049039325,2.34005481525054,1.66321645943394
1.03062581824482,1.6104175441993,2.50003181689075,1.1323390659133
1.0528889274818,1.62296701129038,2.06987316852851,1.26125727150856
1.50001718819011,1.42381422545389,1.64291211327818,1.47495165797133
1.47407516253452,1.60396415657018,2.91124598685343,0.933607394549282
0.837406310937515,1.61162164805798,1.66185469704838,0.97347314418986
1.40660759411827,1.62867780643986,1.9284818279566,0.813420752291305
1.5883140033518,1.68910291838979,2.08675779710991,0.822484432590208
1.8720151904835,1.27437877936634,2.74135613333927,0.928068095195803
1.05545564832422,1.56922455078987,2.38964054973803,0.947496788211934
1.13823795370219,1.419099753655,2.63664336033961,1.68706929303035
1.35675189669865,1.88455445749372,2.49625677838111,0.995019633738079
0.934494643169653,1.49780785756512,2.0063559842508,0.807895725437344
1.01912591254651,1.58428476900146,2.35380669920695,0.642406380150441
1.08501550606308,2.08991360281607,1.51670230382146,1.45642080292944
1.46368889825397,2.10654499039391,1.59336806670398,1.40185219987092
0.876423672353492,1.88847773456109,1.89899523517704,1.39310558636821
1.65503275730973,1.99948938563425,2.33366201570031,0.752671157765487
1.51143164106437,2.27804425211096,2.14667074153799,0.844967570613667
1.71340447596245,1.98650779837663,2.34526697855801,0.89572052403954
1.55791122182355,2.39953177420716,2.68626052029753,0.837798885579929
1.55944601678729,1.86713600919195,2.85657588952925,0.914982883286398
1.5382155070441,1.47517569935311,2.52297804261631,1.03899639885161
1.35685247101773,1.37168352873578,1.97354103248647,0.86557380509739
1.25930426955456,1.67563286342885,2.14875567953645,2.04290935243134
0.990446209965366,1.38838595674146,2.37153335388163,1.8434155430318
1.40440579746555,1.38892478825668,2.00292103904964,1.54962974297325
1.51213928867861,1.74744409528362,1.84685671780682,1.02260249397635
1.09325375258979,1.51691653864138,2.23583983501847,1.4407348491475
1.37890000061668,1.4659544050468,1.93893722781758,0.906597796045772
1.19958500398814,1.46358636303019,2.03432901354432,0.704854181006394
1.51915059777788,3.19300609838379,1.84545285657905,1.76615110446025
1.32771242626919,1.25297751674622,1.8613822340161,1.52084884116574
1.11436540654715,1.89860678000362,1.81382436084836,1.57666675266455
0.972194996732799,1.49975037452981,2.07507205696767,1.23348222841085
0.912607816858792,1.96108219827637,3.00049696805407,1.22207240741133
1.15473288479137,2.1199649709387,3.32231335395083,0.950798491143432
0.913162182186099,1.56656319463413,2.79719076521889,1.32720357304897
1.02240116291445,1.97741329280949,2.68050767983327,1.23739993130813
0.940498694874597,2.05421967521081,2.84012275964904,1.36177843896196
1.10732777943857,1.50392932232005,3.61135786566827,0.930086595439199
1.13697449099907,2.09617656889629,2.24913625195506,0.857094183910119
1.06505796005365,1.88744094613325,2.96062320499262,1.27918663474234
1.02231875498855,2.09197602723802,2.19523024069184,0.550099514708265
1.07916245443037,1.29641936491845,2.42257067615395,0.466996683348526
1.08956909909589,1.43488465893191,3.67875460973196,1.11445923170781
0.877040378507024,1.43158997693949,2.81359922370172,1.39241678602839
0.747162459766297,1.14139057504637,2.54553604924588,1.35434366008264
1.01091176724339,1.38950479372818,2.89472694944049,1.70497323061703
0.996316741320586,1.15715568080503,2.21566369785641,1.39180706836351
1.10904506758091,1.16565699959716,1.81031511689887,1.43136544523073
1.34642158189867,1.54087628311165,2.2773530686911,2.13457184306295
1.21440865843817,1.56543583584097,2.29893108504607,2.20331408787507
1.52440491828207,1.38589341054026,2.66367822784317,1.34686491995835
2.12919023741799,1.43603706955119,2.35106091486716,1.39584241599122
0.874202485346194,2.7875698413048,1.78633499323327,1.06970687478309
0.942628083338814,1.39338871023879,2.00925297924246,1.42209292057508
0.948525339166288,1.43296089599598,2.07177019650365,1.21482537274029
0.992393612472055,2.8111947739905,2.12358929983325,1.24063940493807
1.3141894597128,4.00432215794241,2.25005116486309,1.29234637712458
1.51630149129055,2.89400500421723,1.78824549763607,1.31311182747252
2.11297471684127,2.6740051612401,2.05737020441767,1.30874545244991
1.79951698743361,1.89816901268227,1.82693146835237,1.43392625355718
1.08013314099843,2.47278482809376,3.27478799384156,2.53974168405976
0.980928057173905,1.69184927136838,2.29003139715937,1.20164328017813
1.0229289990653,1.95808715977352,2.21598734663413,1.29087943682484
1.12999640317929,2.02384094946534,2.85827485124896,1.55343740214366
1.07093430880678,1.95846111577598,3.3642109223357,0.966406904511307
1.08922203246143,2.26462940242514,2.66401136562676,1.48476423762134
1.42470188155821,2.40130159459238,1.22115437200691,1.10377784765709
1.42612573931189,1.58551129269596,2.688824063857,1.0261832575717
1.20277538636836,1.70768068275348,1.87535858978451,1.22118071172761
1.51108609161175,2.2338772402329,1.83080587760864,1.38413442408732
1.37441032699881,2.6527271252677,2.0054946552352,1.31451504800785
1.13431086972062,2.07771617156105,2.2737822953993,1.42601716765326
1.53964950481003,2.32762411685379,2.02208995429019,1.24525092896842
1.27899309188886,2.21527566231837,2.81133256926114,1.36920137048321
1.38072283661711,1.79966613998685,3.85173793958143,1.20441395229812
0.907944085124574,1.73840629776255,2.40416235715929,1.01141016876911
1.42379968371978,2.52881030495745,2.68266196743298,1.43257344618147
1.17461855053646,1.74928049446918,3.37465880019817,0.862670509962885
1.3211698228275,1.6239034510635,2.41707092831006,0.972624011450049
1.53404002519651,1.70874685511863,3.46504058027508,1.12798595614493
1.76436684371112,1.46957227595566,3.45690521449048,1.10817802725046
1.7897297302858,1.7751519853411,2.24080735943637,1.23254623978852
0.997507602762844,1.37948666710773,2.58765314226598,1.01351716325904
1.42493909347349,1.30784947670119,2.68549148019025,1.43593951087923
0.916732535788451,1.22143709827273,1.76527350367553,1.20878436494532
0.905918051331287,1.3791035551705,1.98056740911533,1.20371602257544
1.37955253972174,1.28820028743439,1.79716009719887,1.13585124136777
1.40401973862799,2.30792924863204,3.84858679366688,1.20943043684006
1.1637641405174,1.27494480049923,2.7662547344743,0.734424984862233
1.39249813654503,2.08065972344664,2.60647861259651,0.928378494018593
1.33309748785466,1.38837906280308,2.19960721311529,0.719111323436572
1.21735127734425,2.16452425819717,1.81536514085173,0.785415549601143
1.21210867259553,2.44886223207983,1.3917494859024,1.05482799635217
1.40570847224576,1.88971713584079,2.30669321344033,1.6090515870782
0.746330163566723,1.35585035876343,2.50556588647501,0.96404436643625
0.752181408438847,2.02094027625047,1.94811322787848,1.42813658397741
0.714812211902759,2.14866220507159,2.29892681032725,1.45601415833348
0.832587947646394,1.75853497206793,2.47561557186698,0.783933521251247
1.26724934859828,1.72802192495691,2.48035459633226,1.52991788102559
1.0607745648335,1.33067116361474,2.14416045727675,1.47814298186004
1.33689598108045,1.9376997223462,2.41355586671332,1.59603854366158
1.54180707362563,1.62195880869639,2.19535865698687,1.39601123038871
1.46089743174189,1.49798167394052,1.62971854890127,1.27825834047453
1.31824652794811,1.63179353404066,2.06639825283278,1.52108620731637
1.20664593661982,1.60047959832678,1.94098258924163,1.6934865439315
1.5224456537406,1.58057367211307,1.30914500560208,1.57710309991852
0.830106898372932,1.35192502655746,2.08347847256376,1.16078898727014
0.741586029382247,2.07467956539808,2.31264553547674,1.30167267913408
0.782755960396928,1.79252603570864,2.20572392681652,1.92192402429012
0.927990255232153,1.3538374491803,2.83461958875248,1.26539506960634
1.31685261265936,1.42590963321631,1.76717698551756,1.90526258346632
1.15039938922389,1.43178963124368,2.12719045308043,1.36373495948266
1.4202218118705,2.24055901747332,2.39509811743966,1.80504115760041
1.80198876039544,2.23692417587499,2.04252822954632,0.996494321642195
1.46398374788917,2.56009025245627,2.17207198686764,1.64287244997489
1.42792793532236,2.0803414825492,1.66784121609764,1.70252601638524
1.25131177041191,2.24179006869472,1.87916307646458,1.06127053187109
1.19594375989813,2.02263016253888,1.88035711069899,1.06822773959856
1.60953309961833,1.74958682981965,1.64656605063695,1.28352626434948
1.55093868024885,1.58780902626036,1.89669995527461,1.06893595583529
1.22193881121468,1.26836261947771,1.81670650013058,1.25375896756046
1.80509930430682,2.25320301330662,1.64209150880482,1.03516133836334
1.27870356038448,1.49194771891155,2.21420708493838,0.71954964497902
1.29914019326965,1.49227927123016,1.74570498488172,0.794655098706991
1.2024739946632,1.38434260013658,2.29627247638982,0.836952871732984
1.14382034314313,1.15711500429518,1.64352100930407,0.737773408708804
0.988794637798943,1.47999544542497,1.83716641831255,1.27264145895005
1.52067289232197,2.29270997071708,2.77619087411409,2.6859459749988
0.93576852528084,2.41878962046046,2.58123490707664,1.12324846831477
0.96565595168569,1.94617341177973,3.8461655176284,1.33816472448206
1.0371303691064,1.78687415271793,2.71593765883549,0.917963299192147
1.26648414179499,1.42659321947556,3.20561074024639,1.52693571253254
1.26442798810627,1.66888084389235,3.43623705953554,1.21669500996309
1.41569729166284,1.93856723551574,2.27354041330961,1.74083095512264
0.963821305601082,1.87919532799911,2.47045007174457,1.83599882883099
1.3771780373272,1.35369093437093,1.42602268879398,1.19680292136025
1.0604668303366,1.21866635306502,1.96932873712262,1.67070214497416
1.39995594783056,1.83776795248761,2.33349413692561,1.10413972408439
1.32906778328393,1.71164827333912,2.14290289428358,1.12557301692134
1.50699392378234,1.95442467509213,1.86775112566586,1.22997821408891
1.11464456317789,2.10947852525769,2.80542814920874,1.21618810951526
0.858257777795539,2.01646804223675,1.92245709360578,1.19125462642834
1.97150633724792,1.52199685159828,1.74820593247554,1.47121260051476
1.90227154420601,0.987371833977758,2.46942057742331,0.959420307531155
1.2251530401287,2.07527455058003,5.25537138057542,1.19050669530035
1.1724583595837,1.63645809751171,4.35412935403127,1.14122924065051
1.24839850111736,1.66745647923485,3.60718682132942,0.837541553315089
1.42988835086127,1.73631453336624,3.35380249308896,1.28461616053233
1.32207783594975,1.57670537159362,3.53575819080011,0.934757486304294
1.11584825388656,2.17729221471797,4.39121653751539,2.21031729820096
1.28068508021111,1.63419065602204,3.81761938304745,2.26289901505543
1.60944210961423,1.6711717005701,2.45995645603739,0.648902611548636
1.78354111515083,1.76626647954451,2.2604610451989,0.942134155808765
1.17670441219602,1.8721399048626,2.82133090081343,0.797056161975266
1.21808742747706,1.69695458244192,2.49948059539161,1.02707065950082
1.34537275134817,1.55399975456828,3.66875957691995,1.61552901451641
1.26038703204168,1.47377960792675,2.7561999653032,1.80309607357689
1.67780332561044,1.8869239279237,2.30321234515217,1.63283250151176
