"","x"
"1",1.86774905441775
"2",1.87880181625815
"3",1.78445005108393
"4",1.89244103853914
"5",1.94118259534532
"6",1.78674398343019
"7",2.04570546114799
"8",1.91347787938869
"9",1.95523961246232
"10",2.02555346371588
"11",2.07388861909922
"12",1.97637748933234
"13",2.0865365581957
"14",1.83346860507963
"15",2.13493287956124
"16",1.95300461442214
"17",1.86765835568405
"18",1.87518097246954
"19",1.81578228734414
"20",1.86170864886672
"21",1.84593879649935
"22",1.96061721108365
"23",2.04057592278785
"24",1.92161992684404
"25",1.89202025800139
"26",2.1626960707226
"27",2.02540294472193
"28",2.07285166954105
"29",1.87771113485633
"30",1.95769240266867
"31",1.87617774241548
"32",1.80347738227481
"33",2.1158698179258
"34",1.9284367045522
"35",1.98635071969541
"36",1.87944891145068
"37",1.85599619779102
"38",1.74387382961334
"39",1.79726006766783
"40",1.92608611564068
"41",1.9669584452994
"42",2.00865327089026
"43",2.05092660895112
"44",1.948203559409
"45",2.0780043012366
"46",2.00023574678569
"47",2.15308774754233
"48",1.93048032196849
"49",1.8852810626295
"50",1.75031499399638
"51",1.89610462963295
"52",2.12829807896572
"53",2.01172293237637
"54",1.92908082960664
"55",2.29396955299652
"56",2.09996824826397
"57",2.00360851368274
"58",1.86547018388179
"59",2.04224409438135
"60",1.83106402692242
"61",1.82129829341711
"62",2.02841509944232
"63",1.97775641441273
"64",1.83080243934826
"65",1.79023743336506
"66",1.77326662606635
"67",1.92904549338441
"68",2.01565341708558
"69",1.93197884761784
"70",2.08920146579195
"71",1.97840559707933
"72",1.96987565449828
"73",1.87751669367387
"74",1.85656170755032
"75",2.00637903681851
"76",1.9852118798004
"77",1.80694998363675
"78",1.87338168986368
"79",2.06493099588265
"80",1.87883557945685
"81",1.86859207593148
"82",1.9316465887254
"83",1.99752304722565
"84",2.05729240553238
"85",2.14832618373707
"86",1.93235391831266
"87",1.94974649810564
"88",1.84413928863971
"89",1.86486962302106
"90",1.82952906209458
"91",1.87302852643557
"92",1.94557699401489
"93",2.08780928353055
"94",1.99771552369439
"95",2.1575402222154
"96",2.04910701592134
