"","beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
"1",0.919980709690566,0.523368502217688,0.224872408627979,0.244890462509564
"2",0.919512310181297,0.518893189007603,0.219478092467231,0.244754471616362
"3",0.656775008137184,0.577998676956477,0.130836640625795,0.246222074200255
"4",0.734726749721403,0.473935490979574,0.157564444308073,0.244735155994963
"5",0.750895440755468,0.448526638656253,0.147621396109742,0.222609698807123
"6",0.61704242636969,0.520421181396262,0.149458610092506,0.281108742488251
"7",0.829318819257983,0.554810182132958,0.121729099045836,0.265333547321347
"8",0.626746646836697,0.511312593773068,0.118602963947624,0.249227290641342
"9",0.565410122783884,0.443395065710542,0.200553115092412,0.24764606914447
"10",0.641014816420431,0.422377060564457,0.173031286203927,0.243647973730303
"11",0.615256188394965,0.534736003974839,0.124152913954348,0.23600540960196
"12",0.687605841213014,0.463049983673791,0.157340022849587,0.22512811041996
"13",0.57225595775738,0.5869014686479,0.150635790936808,0.23426782275792
"14",0.760946142392917,0.460934258692405,0.161413935049916,0.282448805022233
"15",0.738814213268714,0.433053337351093,0.168558899967621,0.228088588898803
"16",0.553208692090301,0.601136585726888,0.123418660214864,0.294623630278273
"17",0.797855378511969,0.503565614820721,0.170469308332543,0.200670975910276
"18",0.763399712752873,0.47553418772046,0.200057287841048,0.18729055358896
"19",0.721834815361975,0.552888714773344,0.197361476227677,0.198867686018131
"20",0.784466814593229,0.557745700383776,0.151288117395328,0.271440322263262
"21",0.697437363442599,0.56254197942355,0.222603547187661,0.321720028239003
"22",0.567836134809561,0.517314220497562,0.183805104763208,0.286186161688834
"23",0.663545204255429,0.435606710227066,0.187498585878975,0.22395811008431
"24",0.73805485734899,0.587224500955557,0.116666018989239,0.292126413830127
"25",0.717373828413864,0.550813850309115,0.132140751138924,0.271996839393944
"26",0.541350400589298,0.46494335625721,0.0975506831966675,0.233842024391847
"27",0.583661347045098,0.482591468765269,0.197464599157848,0.215147073208314
