"","kappa_out[1]","kappa_out[2]","kappa_out[3]","kappa_out[4]"
"1",4.98807871255569,5.38830803767887,1.22179506745802,2.91357071731409
"2",5.44563845941012,5.71197705953119,1.14624420498976,2.59648089700483
"3",4.37888218950658,6.58531295314335,1.19532101672813,3.19178569198727
"4",4.91521186307821,5.53382681973095,1.02730019981613,3.03273745623918
"5",4.68509595349261,5.40750428110521,1.2276435120337,2.83523941510787
"6",4.48262215035811,6.99341935324859,1.29107440326122,3.18169107469314
"7",5.499941284354,5.45515701198883,0.893365158432274,3.05622792642381
"8",3.95551216113587,6.23350416177932,1.04046350504875,2.9029852845367
"9",4.16157360801796,4.89931700534243,1.1465503819666,2.98805593935699
"10",4.52112425333694,5.19290641481042,1.10558744540852,3.1706819413671
"11",3.98665747139972,6.07870104051354,0.9066297265441,2.72956268395454
"12",5.05876280776447,6.12680221619514,1.15377526681766,3.0881129214826
"13",4.04813355326672,5.80604036895603,0.980484408136435,2.67937756600718
"14",4.43476348778788,6.07854225733525,1.13780731414418,3.20410338206361
"15",3.88521648557648,4.5154352013343,1.17178387619519,3.04280467510249
"16",4.5779553776064,5.96375368893415,0.816075664079831,3.20511575079806
"17",5.27421013910134,5.84175419788957,1.11537906666731,2.53233962774779
"18",4.94508124144686,5.97741537391985,1.00049730707119,2.51990245917765
"19",4.8442806418274,6.19688408437661,1.29800736608511,2.73242784977419
"20",5.45980388064295,6.32952277325478,1.10587589559495,3.16824442800506
"21",4.5683325969762,6.78852659199405,1.49964032857357,3.64983794100139
"22",3.97573353825963,5.55680240898491,1.21590926598193,3.07916601830444
"23",4.67698498841625,5.59796134724156,1.31172002834902,2.83682802299689
"24",5.08045765869134,6.58879931360024,0.83973312821277,3.20398337045436
"25",4.55876295423551,6.49531953395988,1.2750418984139,2.83778130990071
"26",3.71609870222572,5.4414013989648,0.969012748441986,2.09096342471819
"27",4.02442665175937,5.43795791670941,0.92719189137545,3.13185687668326
"28",3.83281836249301,5.79257097142525,1.07298405556737,2.91383813056849
