"z_vol[1]","z_vol[2]","z_vol[3]","z_vol[4]","z_vol[5]","z_vol[6]","z_vol[7]","z_vol[8]","z_vol[9]","z_vol[10]"
1.06169479568784,1.28084878725515,0.713409820744793,1.16635634681573,0.701228991346047,0.840846537273421,0.840129097564986,0.712606825589224,0.948886886305533,0.820443739221798
1.16679450286248,1.36388054317826,0.899384921553138,1.0478387226345,0.772749846285761,0.919997237071523,0.792180166257926,1.02274894856741,0.914825364302009,0.984677076673104
1.06187966469267,1.40552855177339,1.1329389524473,1.33860189940757,0.694855731934435,1.01935565641155,0.932975742138969,1.0994786711885,1.33967305327387,0.867891745982048
1.17271987247514,1.36573598878757,0.738709193062873,0.973064060181973,0.830175912636542,0.850919866194057,0.772934747175627,0.852531898614697,0.8610924957492,1.06709987407065
1.00520894998723,1.30947753118116,0.877971226450111,1.06328646120442,0.66802405315506,1.2615516448258,0.846113553320177,1.13781965186332,1.30659388193578,0.95904393643444
1.28362471163099,1.30818715207152,0.828113365800393,1.08668577096529,0.930766134063362,0.825143818249133,0.86485089869163,0.897275817154783,0.90916589546682,0.983880397573143
1.41579602646996,1.61454916396232,0.82269054644577,1.10128843036503,0.802228024660483,0.994391454925134,0.928824753492844,0.992281370118822,1.17350034082301,1.14608365367306
1.59399537472658,1.72637158631515,0.952258553880255,1.15010907458159,0.967536960662623,1.09925891640465,1.04191063953457,1.42717647521146,1.18901198081998,1.23793991022879
2.04912561871805,2.42886778478383,1.07270012999418,1.34591313473475,1.0829017663168,1.19482723463185,1.0108848582777,1.36656895777907,1.53601254253739,1.42330264610217
1.50095235288652,1.76006740116368,1.0229196907348,1.27530203040611,0.884149356816745,1.09993702841422,0.975692173784224,1.17226759899689,1.15536660519313,1.38297199264977
1.26510529958063,1.33501311526499,0.840159935791527,1.02220675140569,0.742544633589286,1.00591630789458,0.959815374371054,0.988023255228953,0.930955666858773,1.24206615429089
1.13103017754386,1.37301948446329,0.749375163340392,1.04819733232669,0.79902120433076,0.922652394493241,0.881429288247243,0.941651955104131,1.15534935764962,0.892621459603
1.27357476269654,1.35719787469109,0.838019656410705,1.17036377330344,0.738262811730361,0.991305998090175,0.707821462702673,1.09769114609125,0.919109619763528,1.0513465392614
1.35344246506024,1.34664238994614,0.629232353911489,1.14420059614444,0.834431837107206,0.915688885896561,0.753381105368037,1.0574691825623,0.864840513541813,0.948365529094618
1.1799105502079,1.53128567498597,1.03204880765514,1.09030200885829,0.70028335610515,0.922206439686942,0.882392400357856,0.813682526626939,1.2095139089805,1.11303151831474
1.14412075026101,1.49971743242987,0.681232108564047,0.906082888782882,0.760530297655263,1.03205804725438,0.730507654998139,1.02259748994483,1.20854196864635,1.031192781899
1.82848121851626,1.50774972516176,1.1263677277603,1.49465999627457,0.739291062403832,0.798609164233619,0.963766436698438,0.996921127735493,0.951914495475241,1.11838527281355
1.03822193615693,1.2870595591372,0.776575084500178,1.10250219685822,0.686601298890401,0.995852894108352,0.750763707025182,0.988087369769987,0.968420653916475,0.8303702300579
1.11020236226792,1.52882486974253,0.803573140459898,0.960005141353357,0.736520957221225,0.90510395247266,0.767255768175934,1.02157830195261,1.09889781534755,0.898211222590242
1.22744348354451,1.45083726090921,0.886234776260357,1.43116528178694,0.686364149456095,1.03196890877442,1.06431991339737,0.946992503832134,1.02896073262908,0.88415120395996
1.17682944407949,1.52906881229558,0.847465911087367,1.1308586765346,0.74369169776222,1.09348464923555,0.748190430284419,1.11647580073173,0.953318710174772,1.11210367864113
1.22863653478617,1.59742998568319,0.997694080324596,1.14754779282943,0.742610883059272,0.998539523750978,0.740646582015652,1.03479928625695,1.01403059195196,1.14210421048975
1.39878381629744,1.46356554243454,0.671814949714689,1.12035571769088,0.798558313008195,0.85808643762213,0.873225524371241,0.844707238946304,1.1738558631908,0.865055832891188
1.11843099512448,1.55893174441521,0.807174121517416,1.07849622188512,0.634510230108532,0.994252239099731,0.635057370107886,0.929319106959861,0.87663219097449,1.09318482963254
1.49204535567215,1.39462042130818,0.768269805197555,1.16019724745706,0.923945159617636,0.849218698508089,1.12032331622987,0.962028765017563,1.26272679125173,0.80928748168958
1.58549433656648,1.28675434575467,0.725019901576544,1.17157667716637,0.943475404903003,0.791256027064047,1.08148442312465,0.960180553881408,1.37409020323139,0.853820031984177
