"phi_valuesI[1]","phi_valuesI[2]","phi_valuesI[3]","phi_valuesI[4]"
2.58082451798364,2.17837124046978,0.827932104742283,1.26543141492679
2.07412246502076,2.48755072906311,1.09727595083451,1.16855122195855
2.1108375752878,2.06201374848887,1.24772713426188,1.43450102024287
1.63723295496706,2.12066233462412,1.12863852192651,1.85372239267
2.26431465331639,1.91972967189116,0.913200737264159,1.50765897821375
1.8925390210996,2.64383250116055,1.30205443654157,1.91937788471505
2.33166780151094,1.76860714762698,0.927310426606091,1.42290466735968
2.00212799937463,2.18649871745174,1.49187894212067,2.05150472519124
2.66836819430001,1.75225940245365,1.25715051858431,1.35932264759955
2.54169334227033,1.82522346232711,1.07350564464139,1.48369559117374
2.48089841636588,2.04358252382736,1.71131306620708,1.68525870075103
2.32766057833265,1.95331618650883,0.7424468148114,1.4606989411832
2.49179923731389,2.38912631256387,2.26363800870389,1.98546593864158
1.55173316260426,1.79292764674195,1.2067308947635,1.86621706277798
1.72161050280266,2.29644577925467,0.996043466876076,1.83146704932959
2.49834262916395,1.63500283607598,1.48196367433589,1.86281529300677
1.89326726912413,1.81702488650369,1.04499359525782,1.64728942064672
2.09925890412161,2.45031241800714,1.181075842986,1.87028160092277
2.23562853494556,1.56338496155159,1.0369386648829,1.70453801748977
1.57937195869798,1.60495553680568,0.789495795170127,1.47346998844599
2.00911554610366,1.82993314054121,0.960124909349256,1.57630788230916
2.3328640885274,1.68931976525022,1.08655017527866,1.46329247459314
2.12298164346625,1.98895253544208,1.50555525023979,2.00612082484867
2.32380348574201,2.36887080553447,0.860277924010827,1.66915734885015
1.40801688906956,1.65922568572096,1.0459585141825,1.42403819825435
1.42694729991076,1.63881473576454,1.05224164320215,1.47290095269645
2.23401907437771,1.9931982191745,1.24911443784733,2.13939212909023
2.46427135364177,1.9404889788363,1.03970537732961,1.47247895933603
2.04523567856486,1.84813340151263,1.49423806815607,2.08660978788684
2.48706739935491,1.38628353588301,1.28438059426782,1.80699329337147
2.75149637058048,2.35543059407952,1.64908263927448,1.94325268903391
2.09125821298035,1.86203147418159,0.884224792023332,1.63149565943294
2.49499436058603,1.87394990204375,1.37160767753217,1.53462082586751
2.12224670220993,2.17555515201745,0.940108422709845,1.90081632465054
1.87392330313339,1.93293107043011,1.01498463781144,2.05335826606539
1.55467068325455,1.94096495493659,1.75543318328652,1.44521122849114
2.8276899536158,2.31967274688447,1.53064861395151,2.03907606170633
1.75244748244027,1.94224232326261,1.31110569964536,1.64808299528041
2.378610409627,1.98019625642271,0.882782087100022,1.59759664466111
2.13377708626186,1.9496257552194,1.62533436117393,2.14252847707711
2.39992812532296,1.84492660723211,1.81380769725816,2.01888721134076
2.5983607512922,2.13390440255756,0.704309538301314,1.74496988122761
1.90227317106837,1.64544754414461,2.47986407364898,1.93662120142981
2.47802043456121,1.64156277180202,0.789283817695287,1.51647163285309
2.44731578935567,2.63692249423845,0.878209359243114,1.78595457307081
1.7123820042374,2.20488930025834,1.19659572322184,1.33482065823884
2.56757388531161,2.52984730267797,1.12764208180511,1.81670844009239
2.76344610179403,1.42184152506565,1.22918825781541,1.47542553496555
2.5872081743883,1.46057800886824,0.675530940468706,1.74599135579754
2.1796127810689,1.32075203521502,1.26631843924775,2.30006342352075
2.51928350615385,2.29531842877613,1.24510257158763,1.75991230958532
1.97062589568398,1.61383500961799,1.13508223549412,1.27954305657357
2.5284980107365,2.03810153133541,0.875534907452186,1.27362695464317
2.09544441506992,2.13070878886399,2.37140385711633,1.55054814171647
2.25829387076337,2.40623942942346,0.681601853987763,1.44834325234263
2.34007708559143,1.4436047029293,1.18936117839476,1.56197761304124
2.25366404153801,2.14267332180514,0.9827473150778,1.49294225718247
2.31050824272935,1.82421047476695,1.41575652449859,1.88315103423749
1.98495753547871,1.81997441691006,1.03981758879872,1.96144225620713
2.63656548861042,1.95008835832476,1.39488502426641,1.48763995772869
3.15933034925109,1.58379061708876,0.920993334622856,1.80924993341285
2.24306084769027,2.1544127554284,1.29758688279714,2.2074770054813
2.39103426986592,1.97010622980474,0.947226423205089,2.27530667994294
2.60258550007528,1.9691460573089,1.00547697883696,2.15224945083037
2.16235220073988,1.75540898169258,1.16995337843445,1.98854538893927
2.03695745600249,1.46225185450288,1.23793143232396,2.00566315879806
1.9124437882666,1.60574516544122,1.25612705787711,2.10110055858258
1.58961685716371,1.9371717771052,1.49295702180955,1.83988583873864
2.18187655691832,1.96212393191562,1.08131732618813,1.81208011286806
2.68123806895527,1.56949556503566,0.910323361143206,1.53356301199722
2.57914922437442,1.71863952431326,0.867284846159704,1.50363821360615
1.96162209516193,2.03296400296243,1.48301300242308,1.2533899853677
2.2138554357653,2.32757830576973,1.16498408383172,2.20059471018529
2.46130900399408,1.38334875976193,1.57250890259863,1.50040164058393
1.76486827391188,2.06882314466913,1.34572638388416,1.47299479248914
2.56240203810185,1.65661077387028,1.20728231054664,2.00585275694641
1.6900426292659,2.05050744970942,1.31890026563773,1.49795172522964
2.65553040959949,2.60811161555949,0.872973542042071,2.21333435555706
2.65113035174504,1.86182942756752,1.25823728879434,1.46476343185529
2.71202829086162,2.0472000052791,0.767685038687704,1.75203072181373
2.40376384583551,2.06954191357285,2.388778950539,1.8799375502817
2.24384294837693,2.20285015294148,1.15104610218482,1.24137272084501
1.76777903552478,1.79233527902303,1.15551674003486,2.31963756254799
2.11706208291952,1.5303743204387,1.56604712449962,2.38216897505513
1.80732409377306,1.60354866155001,1.66616362346863,1.93513658199003
2.94569948246694,1.43479093587452,1.42341453632112,1.89680725517178
2.07023803103732,2.64717915727842,1.20921573836691,1.48438885971669
2.03505898448746,1.47062784884727,1.28143515288002,1.97613814463386
3.37511386884112,2.45674607027164,1.25701515382921,1.63732002945533
1.51787211021833,3.16038457588236,0.77341147101566,1.60153991548135
2.94218943931036,2.71534747756333,0.888479699009882,1.25842840549663
1.99025143316413,2.52749442629994,1.2383684133778,1.82995937618295
2.31919621938916,1.97980788158064,0.938205235094461,1.60612589320563
1.5368593283835,2.15794645194585,1.20720971349822,1.96596843339402
2.14248724062727,2.0607290973527,1.23979087578021,1.91848647681784
2.27163703906768,1.82136790531895,1.04413506408466,1.78772129816556
2.11965223580428,2.52750471563387,1.22159005194636,1.34214734769932
3.29881245131488,1.55441381319538,1.3250133426489,2.09945334062484
2.60213854641148,2.16573221104369,0.962481904958047,1.54311767374433
2.22388413512275,1.92087504612041,1.46234143793277,1.74866097409978
1.83857470652142,2.44024946269895,0.774500112618039,1.74271663055609
1.57166538077796,3.38648350238189,0.986185672084227,2.30772110973092
1.55105253001936,2.83211378933452,0.738186252298195,2.15288864049512
1.93755919342152,3.2544593228255,0.970432823752213,1.66465220154082
2.02239858522198,1.88441903418571,1.25556244938958,1.70188680340902
1.90866118110652,2.26519615709923,1.22871249814832,1.59930990189424
1.93476552391523,2.1609796147664,1.10075092090399,1.37121395995374
1.75728764738963,2.09367455722412,1.14283364078518,1.3715672862882
2.22721102475417,1.97192658563567,0.95677744311784,1.78917131949104
2.04535665357513,1.85400610207174,0.943127801431316,1.64819812012922
2.05813623151071,2.53096555342728,0.905817259160794,1.57040097397997
1.32248367955079,1.73699670650545,1.31035700948024,1.9109322868608
2.85902645905082,2.47592228944393,0.903851553762639,1.70352498716347
2.5500453296067,1.70527242173875,1.49095055014333,1.60810192367995
2.52805005946278,2.65508643539184,0.925474348094667,1.73982705314328
1.96014942951597,2.01485763506524,1.10927888329832,1.69191885230159
2.36176673202311,1.46452561192291,1.24549219944939,1.72090063758478
2.6080764184273,1.41301244270179,1.3508872058278,1.76813796401642
1.68213343870886,2.49685542330833,0.84426568340545,1.71502869893989
2.50931759619112,2.12235224573089,1.79913536709388,1.72743432218375
2.17798217214606,2.59131400522826,1.19982007403999,1.42501046624116
2.56533171593237,1.91011830048129,0.831752404511457,1.65296937623438
1.49972046376825,2.01601862361223,1.62160937798673,2.06846759427944
3.63072812466514,1.84320911769772,0.906548729158143,1.58207147833127
2.28618456711852,1.89452426487751,1.91750925432765,1.59742341055619
2.43563999083865,2.41979365208977,0.809350851651627,1.67266060226681
1.7776362337144,1.92412703090577,1.27484431446862,2.26059902572604
2.4877293382982,2.05392412440394,0.856259127566992,1.3482404475566
2.37120071813023,1.79197969010554,1.38381799927432,1.70268253557211
3.3592730591511,1.86856289651789,2.36835015063545,1.75125671091359
2.53292932734523,1.99551122785413,0.954865565272131,1.3936225035342
1.48282377392071,2.05447404363172,1.2033433810853,2.02434170344826
1.95206324755062,2.27780046940933,0.865790818108835,2.83494139002382
2.27553538443017,2.51222749544079,1.04911030828124,3.17048270845862
2.25817695727366,1.65948771521868,0.782024957338794,1.40308823739675
2.2206400097724,2.44501503842933,1.45462079313485,1.29479820960909
1.62775826900756,1.91197888817346,0.949924174625421,2.01358696753336
2.42357843331261,2.21611385599698,1.39134014319478,1.59994512783857
1.83949154946395,1.9675353504693,0.900831310767247,1.97148809182275
1.81652867665512,1.57985302728787,0.88276136039143,1.77891233322769
2.53426270767824,2.11008208698138,1.14064905064524,2.26438905438869
1.61404790163915,1.99407194337675,1.19268149513904,1.43304594112498
1.72204788467756,2.11524556573737,1.01426682983366,1.72444306187666
2.40705114625901,1.71722072073442,1.09549422623368,1.64685423202966
2.24454187394921,2.92811304405054,1.10290060579545,1.53907505384854
1.61272267770242,1.7159045669852,1.23927013412985,1.82816292594013
2.72475559792023,1.97257469594999,1.21470285831499,2.31601990213543
1.72867398814132,1.68987268330447,1.12277994387741,1.49233085162498
2.13337413314337,2.22159507377703,1.01301547512117,1.93898622204093
2.39664106257112,2.28802505300265,1.45622913100333,1.41590324527089
2.56973297042833,2.25284822534609,1.08949250758848,1.36503386058682
2.44448948329218,1.85278388026931,1.06090261518512,1.97065148619873
1.89301033718756,2.01651150285309,0.860358391479286,1.53403816393921
2.14082948430586,2.21321925880277,1.38107793331522,1.44272618420771
3.23441374631545,1.82162983229731,1.18300290075627,1.86641336759859
2.81250357605224,2.14787399500801,1.50733112575712,1.07143121934672
2.22596511247098,1.35257080401011,0.949728042086135,2.18426419591249
2.17682414968259,1.9993428781091,1.55130400668275,2.37001433258537
1.85883151695645,1.93496480516766,1.01493644268593,1.50299021252066
2.00488300218386,2.19713991672192,1.27270405305727,1.99769685887716
2.03609387498922,2.75731326309419,1.11306389615296,2.0788720790443
1.68174965576421,1.9289697333757,0.985526281395061,1.22776472436918
1.47152539205082,2.28883456527222,0.722931567161071,1.66525881131968
1.83338596316335,2.37612817892376,1.09432300542057,1.63498045674462
1.76255988245018,1.90618114011909,1.15654153328721,1.41288563647688
2.53970572992579,2.22547511092996,1.32230298660944,1.81506234224491
1.97625225858423,2.33885392371848,1.24514543481701,2.35695748900438
1.68818442569349,1.97088941053998,1.24909892747159,1.82161324494203
1.6790916933367,1.97490914167231,1.50694315821616,2.02239079025182
2.52971262881446,2.64701110634561,0.755638426305129,1.8953512378986
1.83522736980236,2.23631019923515,1.39337610464024,1.20427454155246
2.67895886602418,2.06600526498751,1.31143522824385,1.46461206949614
3.18653001529161,2.22577100298157,1.29198141394233,1.46644258994246
2.37658852559871,1.76600491390848,1.43381549711827,1.83603217387359
2.65439509668287,2.14799606058718,1.25220736474356,1.49238784479345
2.08291237482076,1.7855194392064,1.15195552366551,1.48155217178846
2.21436930112136,1.897471898688,1.01181236265984,1.88023092026067
2.50320190646468,2.10921859515555,1.22443628767397,1.76785671122033
2.03980846413534,1.69832619552784,1.72012590227472,1.19044638439592
1.84651271763889,2.74226745322192,0.627387877421392,2.48566951049097
2.72267993021589,1.99647791374072,1.70420060504458,1.58797460758693
2.06928348971729,2.16676542188684,0.900016803205131,1.37639526781778
2.4233656036098,1.98703056770331,1.4920201186441,1.79595087964739
2.45229424796291,1.5644674804187,1.32058007206165,2.14290162229508
2.48702563936387,1.71841631146201,1.21270902977269,1.52732719704463
2.21293117363852,1.59074557724473,1.44341589899618,1.51047251528725
2.60823186379991,2.0475455510547,1.0961942354333,1.64013702055588
3.00732120858837,2.09311990237303,1.407033856503,1.64499201886507
2.69412045259407,1.86782479842123,1.35066732410669,2.151825199145
2.7300112300601,1.86536147062742,1.2979969893243,1.82658947096136
1.570447262487,2.05205051416093,1.09711174545169,1.55194924892495
2.55952652347601,2.09543060987308,1.17975248896171,2.52993363453727
2.0996331567689,1.65546990984461,0.937795223532443,1.08093045521138
2.32247797552888,2.72151471860982,1.40337781343198,2.21910027836219
