"kappa_out[1]","kappa_out[2]","kappa_out[3]","kappa_out[4]"
3.77512276023895,5.66225582743837,0.412695718954652,2.53471310210224
3.763465756007,5.25431353621481,0.682991149195552,2.71353065762253
4.09210419492781,6.0071796858939,0.82501483051658,2.68039725233688
4.03077027455197,7.55258803925128,0.625035087492758,3.19812859317831
3.59107544776875,5.27483225701446,0.601685683410432,2.4276193270195
3.5877106240238,5.12150308733826,0.657458699306977,2.4019306369913
3.98865602138975,7.33770224932095,0.72498724403704,3.08283677059057
4.03278943933101,5.59429766835807,0.84726881538116,2.87442218819564
4.24363266409202,5.81139546119034,0.636878418815123,2.46267511564906
3.61082530421432,5.51039088047585,0.851741629179745,3.08805970215294
3.58278005648923,5.27414152997174,0.713502789393537,2.83417716001655
3.87274164751111,5.67207002166756,0.752913530775258,3.0213432450555
3.80602568368346,7.54375720434708,0.505882154855245,2.59322245426765
4.79265892816051,5.41836831917965,0.60907350680874,2.59138329350757
4.09815683907956,6.86423680421086,0.793558960567132,2.89724025885329
4.66446806509011,6.36892133098754,0.886907558655173,2.72957806640624
4.41451209808308,6.36588433974776,0.821702608525471,3.37507067796835
4.2983956333897,5.7475442704683,0.652369762473122,3.03034882548162
4.55761472473189,7.01694748972521,1.10321245893744,3.4713118638014
5.03749326123291,7.10096059862099,1.02123661967161,3.29996721731153
3.47468279671098,5.61640874759111,0.611986297981348,2.70285700008952
4.15005194597564,5.73764115115858,0.621865422496295,2.67217093543291
3.40016419919289,5.27223698542541,0.714118118349807,2.78405345478043
3.66780973192721,5.60478785543907,0.676417708731135,2.7409470634574
3.9281255945161,5.97349559401296,0.618031614556375,2.90311263153473
4.21644131746771,5.15033721875221,0.728821664334664,2.38703635592509
4.36204693507934,6.30411163486249,0.620678164622577,2.84961504031602
3.48291871256347,5.33675158591901,0.669716696132348,1.99837488536946
4.04626146462412,6.49244444615817,0.78981214181297,3.63556225130704
4.68049569240861,7.31587669705139,0.86636755616565,3.71063536113154
3.37464887952943,5.90087057769364,0.63113015540725,2.27921526142452
3.34475876394956,5.17848029378742,0.62772121064516,2.52257371052907
3.54672340769913,5.82300011901789,0.696689083737777,2.81717130800957
3.52193031325099,5.33163466783809,0.5315084945986,2.34379288765047
3.41058408484734,4.92108254428218,0.621912789510981,2.35097198106852
4.28883859687887,6.31071021649054,0.507147778111759,2.68961001498711
