"beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
0.66939759068245,0.526575901960304,0.0985342663481861,0.215797181202045
0.579798231162417,0.430143944162425,0.149148869702408,0.286291903266395
0.686341867244769,0.53177091398412,0.170725012505927,0.251403946660009
0.65895027448855,0.711391380911821,0.101916746265746,0.317623321302414
0.562188757761781,0.45375334988375,0.152318362867814,0.207156229358474
0.570783095100144,0.449703389659309,0.127448828719612,0.215193681103436
0.684692377974338,0.73494992290974,0.119312553087832,0.265749215495258
0.712616553922918,0.499649576341875,0.182036889727744,0.263699141081429
0.606616881112753,0.522391505616946,0.130853206546686,0.245026919526937
0.545851101077805,0.507296767899002,0.124900264636393,0.263090961820319
0.492792662513947,0.453645717507914,0.107411443032295,0.244850207657485
0.76193109868037,0.422474116340969,0.120091199893475,0.307262710259359
0.665839498475535,0.633371554623713,0.135383343426516,0.191373933960967
0.732997390516647,0.559278082050204,0.148218596398787,0.29982815639485
0.700378736965556,0.571187255956147,0.150533862340225,0.179548148621399
0.691536163835199,0.663401098386513,0.190166032638529,0.246155146452654
0.764649472210747,0.479972905099197,0.145222042672593,0.338520469604106
0.740317835940787,0.541775084847206,0.196372946444664,0.293436331385098
0.645395825999507,0.556877854647772,0.17278129126419,0.36352931321987
0.886142276449501,0.714002376877173,0.200066323224681,0.301060970540196
0.582528983331881,0.556688894551166,0.105174428782241,0.24985304171047
0.642322632063403,0.466175156051392,0.142113752994683,0.221473127173177
0.593889541235255,0.546603567885184,0.0995370018771776,0.278132131373441
0.591028785621296,0.566259945698614,0.106273600535316,0.321808698685343
0.535252727697801,0.494010816022238,0.118826979113735,0.215920806352967
0.880660661396479,0.499771911144765,0.157984689553084,0.244319483132843
0.592713894368224,0.494105296796527,0.144545269133671,0.212537047297576
0.683615689011092,0.570928941305874,0.15157067144236,0.211898298583109
0.739003005338938,0.695482472902457,0.13388056972637,0.389379685354656
0.645969126327195,0.554050011033834,0.144384248146693,0.354362210353373
0.567946393910978,0.507803411286293,0.11376746705279,0.190026616940439
0.47377925280095,0.509853478236807,0.126079133254989,0.210101720322648
0.557837757696415,0.482656785533548,0.131608502983049,0.249930204701586
0.558217898743511,0.523283448730199,0.141659445441845,0.219848724510215
0.537479857143814,0.442239548596452,0.119633888911756,0.216892957446405
0.642545382567485,0.511811032815226,0.128160974282238,0.210211680940567
0.603084589707453,0.531078983985925,0.127990742578202,0.206561912438525
0.654663827770811,0.480153853847771,0.136949368157701,0.228961002338749
0.623760137602917,0.485741380089331,0.139404726814855,0.271167091033906
0.562820292149874,0.531206412249522,0.147738728393678,0.265535822171911
0.638235510631879,0.474734376717969,0.141017168217867,0.231504299410637
0.510246204314572,0.598797735786739,0.106048511969601,0.292191220514413
0.528648867407376,0.623174468639782,0.175093950611605,0.249399888834501
0.847200665879463,0.483185993036767,0.0831698145125513,0.302483725947422
0.506935113491638,0.693250115073584,0.203154870670435,0.201155699219448
0.619941136821426,0.472250702609274,0.125046450009517,0.229356360532778
0.540371172375536,0.512456637135221,0.129741584115397,0.237910525804492
0.540453586095898,0.526153429723282,0.126697698452036,0.228180897301989
0.613535750726191,0.493401347816412,0.0993558301323288,0.248784721080679
