"","beta_out[1]","beta_out[2]","beta_out[3]","beta_out[4]"
"1",0.235597286832655,0.174736490429668,0.09644342709228,0.120422022743174
"2",0.205612755227551,0.175518363674843,0.069808095159748,0.139980785754912
"3",0.218589408260387,0.160621780870245,0.0932960032393382,0.129598632902103
"4",0.227309198681492,0.226935477743539,0.0902693059831621,0.127755115228117
"5",0.221781235357674,0.252418138615532,0.0930778682999041,0.140019041520834
"6",0.247223382435416,0.212447841427835,0.0933998917795782,0.150416639938054
"7",0.225808333604434,0.21106048076613,0.09380700598501,0.126778680520479
"8",0.21368268717491,0.165960493190773,0.100629818721567,0.131589155687099
"9",0.188490021602607,0.178900304270676,0.0765673964601718,0.131528808578549
"10",0.26648465634737,0.197049828229656,0.109339590164813,0.131034177438769
"11",0.222188848359365,0.193858314936236,0.131888603004248,0.133063228096712
"12",0.281807066317646,0.20113641957915,0.0907453638008464,0.115653084081115
"13",0.224633334838862,0.182551075387278,0.113663853356052,0.122688238296613
"14",0.254120650194809,0.196751355237117,0.0915891963277004,0.136217291452118
"15",0.246321199797006,0.210621507089925,0.117983116354874,0.131260220682411
"16",0.250853512424042,0.173557073681995,0.111216059133249,0.14591107621638
"17",0.214802080186932,0.212814381381521,0.0923959026938957,0.135318726829146
"18",0.188212145022351,0.20667991104107,0.0907895632042767,0.124662263697396
"19",0.178199557221893,0.178161615021033,0.0928527638629835,0.124814744665089
"20",0.185084968212001,0.191440745619322,0.100169386062112,0.123966092976455
"21",0.189792966066797,0.181746538014954,0.107540239640411,0.112660413608468
"22",0.22340140004565,0.167393768698537,0.0809758859072445,0.137932386254171
"23",0.241339431011597,0.207320106911914,0.104033024886183,0.1370871510883
"24",0.258728036499683,0.214177800717339,0.0976375350816475,0.133713003152497
"25",0.201953675242097,0.192493944836023,0.0807525088916856,0.125266015592671
"26",0.234723495726678,0.197762094410871,0.0898320976580343,0.134280302102324
"27",0.211902637396087,0.18162748040236,0.086207579876409,0.123021090868812
"28",0.208288428593022,0.195826962485338,0.0992036197209507,0.124671723277106
"29",0.228850026048892,0.169269173555003,0.087347706619051,0.133473262323978
"30",0.24155892738983,0.157973511311493,0.093110867675263,0.116732746557889
"31",0.196169591688994,0.197111817705023,0.0865799080041842,0.124069005423124
"32",0.204095558460113,0.180331723115825,0.0929251804032674,0.128046252416882
"33",0.185085840465706,0.194031829257338,0.0813468372674934,0.137096643911911
"34",0.208820120842496,0.171567172727936,0.0791962350659427,0.136852453218068
"35",0.236526920346996,0.182472403114621,0.0922700656100439,0.138504712323084
"36",0.238080527641608,0.185778837659187,0.107593920458527,0.134840337785708
"37",0.221318000934117,0.192477622619886,0.0862081149490487,0.136877984475122
"38",0.1910976319357,0.182433775195932,0.0932292822734968,0.12163943422697
"39",0.200050259005913,0.223761400432829,0.0994961402834559,0.126844151909711
"40",0.203777085532492,0.210517145980141,0.0947274634212633,0.128419444400667
"41",0.213314516264971,0.15799364500234,0.0865249835880131,0.121087414001172
"42",0.231055272677156,0.147596888705932,0.0931054019658654,0.138647669996562
"43",0.235861576009001,0.156790609769556,0.0917195035322537,0.131620595031484
