"","x"
"1",0.958231694908298
"2",0.858328524830885
"3",0.901301189662644
"4",0.822062922675031
"5",0.854935912246273
"6",0.79698360150532
"7",0.804716858601262
"8",0.906071665652426
"9",1.01190093255839
"10",0.795813945351268
"11",0.802587018985787
"12",0.801178657422729
"13",0.900574295834044
"14",0.841777167805437
"15",0.790107460689448
"16",0.844671288514828
"17",0.752704215079735
"18",0.804561512850405
"19",0.830817287934629
"20",0.923666725040449
"21",0.785772005235672
"22",0.994859359196054
"23",0.714736998276915
"24",0.887368439981211
"25",0.835352873185139
"26",0.863135097215543
"27",0.812620564968281
"28",0.862246975644112
"29",0.876657006368925
"30",0.77992016615996
"31",0.954779740807903
"32",0.969217545672743
"33",0.941312677375397
"34",0.835131584287785
"35",0.876832295909129
"36",0.740519774712583
"37",0.932381444573846
"38",0.763863663700283
"39",0.994294093555235
"40",0.961430905730593
"41",0.820772582528011
"42",0.805295491655801
"43",0.885384964087684
"44",0.968493730519143
"45",0.966737064811944
"46",0.986424209961798
"47",0.837085191011785
"48",0.951556277533
"49",0.936987214168113
"50",0.993556102326905
"51",0.80210236125293
"52",0.938769334160574
"53",0.85822880748169
"54",0.848486802866139
"55",0.919171582776285
"56",0.874753042981583
"57",0.829988800545171
"58",0.783719864402254
"59",0.894354819566729
"60",0.87857800266517
"61",0.906842718440331
"62",0.888056333485934
"63",0.821547945008446
"64",0.828244506684539
"65",0.862082494786877
"66",0.795096581977675
"67",0.873714662963326
"68",0.830975904510552
"69",0.861270035233998
"70",0.871059109441561
"71",0.897539751499282
"72",0.880425160395189
"73",0.888261877515091
"74",0.823867173797473
"75",0.856002808979947
"76",0.827215407986807
"77",0.862542877197737
"78",0.901178139976116
"79",0.884349865044077
"80",0.827911154792204
"81",0.813503668049493
"82",0.894119248333745
"83",0.878642730510091
"84",0.801491607664253
"85",0.842469354960257
"86",0.930527223180371
"87",0.888101789389559
"88",0.834391861023908
"89",0.852908973751924
"90",0.890184171222539
"91",0.834198515953472
"92",0.868230853431482
"93",0.847449698485226
"94",0.816055069771729
"95",0.887827421524186
"96",0.886855294051984
"97",0.869553884231505
"98",0.804943307510786
"99",0.787186983583145
"100",0.838886015509888
"101",0.923697256050139
"102",0.992939969797438
"103",0.862976439200556
"104",0.828619050586278
"105",0.782855087725677
"106",0.927682677247555
"107",0.821801147290039
"108",0.948017742415951
"109",0.801237667866855
"110",0.901759221071355
"111",0.87291114732708
"112",0.823829270490916
"113",0.86654826714907
"114",0.895591585580274
"115",0.912472633575888
"116",0.985529386429481
"117",0.845627661523733
"118",0.883622979242236
"119",0.854084363424271
"120",0.942332329202925
"121",0.97571218380707
"122",0.983515147509636
"123",0.893822243392282
"124",0.805555067508347
"125",0.786636638997835
"126",0.790462405563985
"127",0.924721594447513
"128",0.899864101994731
"129",0.78916425417857
"130",0.910777256522167
"131",0.871657616020358
"132",0.850651806173043
"133",0.808579792611998
"134",0.819974092812466
"135",0.860952596748884
"136",0.859577245197944
"137",0.800262185508457
"138",0.82820424291959
"139",0.882504887498148
"140",0.841096092037901
"141",0.865826691990484
"142",0.941548048368409
"143",0.884153662771182
"144",0.979887925748574
"145",0.774699663902639
"146",0.824250222154063
"147",0.776275255879135
"148",0.87186144665842
"149",0.80735442315713
"150",0.864476944424768
"151",0.85595896871319
"152",0.874722336893179
"153",0.919271712900998
"154",0.858109584957552
"155",0.933878586610429
"156",1.05178475738049
"157",0.758828870728458
"158",0.81055270874398
"159",0.849398044487989
"160",0.754125941918889
"161",0.951616063676226
"162",0.87662695147972
"163",0.801191106927258
"164",0.868883555947742
"165",0.893702304550277
"166",0.840433899261847
"167",0.85597787240172
"168",0.833454650821194
"169",0.792847721901945
"170",0.886372303893098
"171",0.928161892116255
"172",0.869205577557089
"173",0.942090017457538
"174",0.911157759476028
"175",0.843874126391477
"176",0.878123454062812
"177",0.872999974429326
"178",0.782274373925708
"179",0.762229006420559
"180",0.884913330298226
"181",0.831388189321195
"182",0.899093863755903
"183",0.834476624127695
"184",0.919899677210618
"185",0.867435281084126
"186",0.871623122606788
"187",0.950675172397951
"188",0.851103682137619
"189",0.806375870259006
"190",0.907804191582724
"191",0.849719150756615
"192",0.831948920792221
"193",0.789033701814126
"194",0.907534407333357
"195",0.840506210166427
"196",0.815710358674075
"197",0.847311863973429
"198",0.930686164058038
"199",0.79517079300408
"200",0.908693801829768
"201",0.851831215459923
"202",0.904366173209094
"203",0.72591723216442
"204",0.810256100006094
"205",0.88932825881115
"206",0.90326578005449
"207",0.800788311817503
"208",0.830282343380232
"209",0.906925673522838
"210",0.7908979724294
"211",0.908642052999648
"212",0.817548263052861
"213",0.852635666308244
"214",0.778229290072987
"215",0.847838186974177
"216",0.798578647788201
"217",0.886376149016931
"218",0.839786110075576
"219",0.862303145352654
"220",0.884526445297979
"221",0.869499473957872
"222",0.874415992159057
"223",0.808335801417613
"224",0.79663065474358
"225",0.882930751574894
"226",0.896963152533397
"227",0.780445580648072
"228",0.815347703824965
"229",0.864651248540943
"230",0.91380340110617
"231",0.913763108332369
"232",0.904004016302534
"233",0.80604073081076
"234",0.93140417363955
"235",0.93140417363955
"236",0.846779676960041
"237",0.882051160579539
"238",0.831361756385128
"239",0.864078091947914
"240",0.8499685536838
"241",0.894641188030818
"242",0.805802912168216
"243",0.854344783553502
"244",0.94225950154295
"245",0.820073967680412
"246",0.823664403098446
"247",0.770771222002077
"248",0.789096652067164
"249",0.809900322367032
"250",0.887904517990994
"251",0.904083980259956
"252",0.786457133309711
"253",0.847034119951735
"254",0.89116862603294
"255",0.82552918198817
"256",0.911602193448001
"257",0.929805464502534
"258",0.835389215981932
"259",0.762454587566356
"260",0.939488173686559
"261",0.867297748357146
"262",0.833465753678965
"263",0.876016092869661
"264",0.816730599271224
"265",0.759734990962375
"266",0.939979291504313
"267",0.830768096532341
"268",0.873069863224405
"269",0.880767357798505
"270",0.858461721663236
"271",0.861494651607203
"272",0.904384824622217
"273",0.806362765231106
"274",0.93225676559174
"275",0.927616407204191
"276",0.953681731926967
"277",0.915435061123307
"278",0.830759535344757
"279",0.912562863408023
"280",0.924168984226824
"281",0.856898280459496
"282",0.858883035633341
"283",0.760203970906327
"284",0.859997684323604
"285",0.865931093765456
"286",0.762961114442159
"287",0.782658374098054
"288",0.889240703426734
"289",0.885616343085291
"290",0.858092426107263
"291",0.763447404329744
"292",0.945177628387198
"293",0.942984924450254
"294",0.877306192201074
"295",0.950675188685421
"296",0.9422044333249
"297",0.814248420021727
"298",0.933785313287896
"299",0.869983286701106
"300",0.896053931909722
"301",0.873184954152178
"302",0.91269250178272
"303",0.826652908536352
"304",0.837068317099795
"305",0.91561288895419
"306",0.817797565212827
"307",0.830304847124148
"308",0.819785547258782
"309",0.80025245441353
"310",0.940622629323295
"311",0.868867001430835
"312",0.907561445777055
"313",0.782773864121157
"314",0.855737949550439
"315",0.87381213440376
"316",0.839680128151213
"317",0.843218459873103
"318",0.870026026169263
"319",0.792981413681007
"320",0.884244548290308
"321",0.844660809704477
"322",0.930228382838391
"323",0.829782511369612
"324",0.86456405584541
"325",0.879131865624861
"326",0.798129539431405
"327",0.789447582019945
"328",0.887841925704645
"329",0.80918446705805
"330",0.767701274274247
"331",0.969619604959987
"332",0.822948306727065
"333",0.885404225364646
"334",0.759436280951546
"335",0.840820210236181
"336",0.845867350086038
"337",0.87916854304134
"338",0.901076280558521
"339",0.863391972959923
"340",0.935436991675324
"341",0.929154464977301
"342",0.97170219783928
"343",0.983333375465863
"344",0.918657937462461
"345",0.908913652608209
"346",0.882122100428591
"347",0.825106231743253
"348",0.806963666789358
"349",0.809261060742462
"350",0.795004511939387
"351",0.870791156423559
"352",0.830960562801372
"353",0.787346901957459
"354",0.757646034666246
"355",0.758090224235915
"356",0.917136371289765
"357",0.823430400399558
"358",0.863747539856337
"359",0.86057394870547
"360",0.7900212058634
"361",0.902245591894603
"362",0.822162650775174
"363",0.936384328526532
"364",0.920896553449734
"365",0.794664839946722
"366",0.837173999365491
"367",0.827502649811732
"368",0.84231476581774
"369",0.843689965566982
"370",0.882979316277291
"371",0.853787436771157
"372",0.810208823053964
"373",0.945083418162295
"374",0.923779116195573
"375",0.828711191021262
"376",0.859253590843848
"377",0.971222142893712
"378",0.803456121088177
"379",0.897244899799746
"380",0.776596148121116
"381",0.872968061599623
"382",0.835908186140854
"383",0.880529068373049
"384",0.854455966450358
"385",0.889592687098664
"386",0.748661646282678
"387",0.888420321255023
"388",0.906334678256885
"389",0.934322917953188
