"","kappa_out[1]","kappa_out[2]","kappa_out[3]","kappa_out[4]"
"1",0.237047962627453,0.365284763258591,0.120446036101733,0.254671797376917
"2",0.238601994784734,0.391487868856159,0.118603269188543,0.266569029879444
"3",0.204921387380926,0.356931519036696,0.0902215609269045,0.292097866930903
"4",0.20904364670478,0.529462078477136,0.170483207757658,0.273047271034624
"5",0.219387818270392,0.570209210498171,0.153658189546879,0.306879455072201
"6",0.311385857510097,0.523051764485121,0.132411213797512,0.326735071500879
"7",0.24366522611953,0.453827250357658,0.128869817175072,0.280095769215713
"8",0.232517489627017,0.346544490035356,0.111895629772598,0.282771294090198
"9",0.192895046546124,0.395624741524442,0.093713340602885,0.259312856190401
"10",0.280602188194435,0.489257696768616,0.143226124063658,0.287932665662208
"11",0.245601001817234,0.395438825737153,0.162441524280255,0.258712961999813
"12",0.304907233784678,0.464860952162912,0.168722556735934,0.270498887396322
"13",0.272565360463878,0.416656761912318,0.107772258155451,0.246610736270849
"14",0.266497599335531,0.434176266916308,0.147390127667817,0.304269977119717
"15",0.275196212524111,0.434812009736456,0.177723515973682,0.300638629333607
"16",0.263645419478832,0.47398817938804,0.160921635654561,0.297315036568101
"17",0.2504755030623,0.521408948737937,0.124045936074122,0.278361785402191
"18",0.19642435265433,0.458563361962769,0.147393080540301,0.309989747312073
"19",0.199574841692246,0.406621817058766,0.113506402162164,0.272089463325066
"20",0.166752763753872,0.373772407186832,0.119886116847396,0.267448353233678
"21",0.23189043368587,0.481631291304126,0.180442000040649,0.264488273281179
"22",0.221034151464723,0.424249556152381,0.117527639311165,0.265558698242536
"23",0.27504564046663,0.504962945567134,0.21518874566753,0.347300845218081
"24",0.302474238605319,0.492960770022954,0.0978668479116659,0.275992391959524
"25",0.245458775512485,0.439516115639152,0.132810192052614,0.257176630541198
"26",0.227934834353363,0.423957714718686,0.121765711266879,0.305973864880513
"27",0.258599547778268,0.419256411654866,0.122647980662064,0.295107028584154
"28",0.248158092526177,0.455738776614051,0.160658295719771,0.256160538123933
"29",0.252669486604411,0.362020588006531,0.123315533111165,0.273381592745984
"30",0.276649137662937,0.379393601047571,0.153803537856564,0.284370157632387
"31",0.185497672297252,0.458112966042744,0.0960813602743562,0.259775929755924
"32",0.192033253132244,0.46604022943765,0.0850429898067566,0.284857725068838
"33",0.195408449484921,0.404508858384547,0.0771167348035203,0.251646177077014
"34",0.201672137720824,0.408812750573613,0.127593007007233,0.307425928113231
"35",0.267748843974702,0.396064059684274,0.113482856722147,0.303817481125482
"36",0.271569620345497,0.463864548245229,0.15782454841104,0.29757983183803
"37",0.226236939597873,0.388541954301679,0.10766682182675,0.275745424981198
"38",0.228426459533717,0.453030002291518,0.141356603891995,0.29397272565817
"39",0.248034056104959,0.469043521956409,0.125986958111243,0.233350588718193
"40",0.234252737433856,0.447368967359823,0.121325613769244,0.242712100836668
"41",0.250547073650036,0.349056524665408,0.14418591435424,0.325552239216837
"42",0.23855243481283,0.305145554117696,0.163479855378055,0.332407556801859
"43",0.26121100499071,0.410950988974187,0.0998508041477636,0.252882958112761
"44",0.162843489527831,0.4427009120911,0.0935419272016017,0.280989770773474
"45",0.15761062511359,0.420369946330307,0.0997407390319724,0.306499184008335
"46",0.181106443018766,0.504788543660259,0.0706714618504408,0.282932563178997
"47",0.22410239830156,0.45578356774681,0.0886933543091399,0.272988378124081
"48",0.220371490817824,0.329324278097156,0.126469648683244,0.250446277436922
"49",0.212359820649105,0.391633796486949,0.12760080704306,0.224106713008539
"50",0.213953846730425,0.394111396159433,0.147254708624194,0.223840159109372
"51",0.257609240495731,0.43079911603797,0.134850275250931,0.301867946211614
"52",0.214672262199312,0.397794666818482,0.133074746686625,0.20123268911402
