"","x"
"1",8.30953821852476
"2",8.21804402868198
"3",8.8371345230986
"4",7.94475237568014
"5",8.1239872888351
"6",8.02389722848924
"7",8.10504053046431
"8",9.13008513560139
"9",8.56566427557611
"10",7.84299311803873
"11",8.24432680454014
"12",7.71982646078056
"13",8.39127547240244
"14",8.1832154095306
"15",7.76295897036402
"16",7.69910125024121
"17",8.22835275424592
"18",8.31428047814447
"19",8.16926956463821
"20",8.63890570269859
"21",8.2083397866862
"22",8.32811522358221
"23",7.55424418240367
"24",8.0396102029634
"25",8.21554409787556
"26",8.07976709686079
"27",8.06733450562103
"28",8.33572824180455
"29",8.09774115446452
"30",8.32869734859301
"31",8.40046065059502
"32",8.44342211792056
"33",8.36385484334144
"34",8.44206836112418
"35",8.19641402414071
"36",8.27792764172665
"37",8.05577550744327
"38",8.15432653070117
"39",8.31821738996835
"40",8.31016700846912
"41",8.14245413390382
"42",8.38739508508258
"43",8.51411170669385
"44",8.48677756846302
"45",8.48058469659011
"46",8.68908616368978
"47",7.71748179551338
"48",8.99713838593114
"49",8.54762809066551
"50",8.80875999496834
"51",8.07632124277642
"52",8.41328930145846
"53",8.42544486101798
"54",7.96396837903152
"55",8.54364672426244
"56",8.70591632413791
"57",7.77424941308366
"58",8.15654813933632
"59",8.34873704866258
"60",8.32980459783221
"61",8.30775132034487
"62",8.15495725163308
"63",8.39452231221188
"64",8.47782910257392
"65",8.17563194848227
"66",8.76319395308138
"67",7.79161099150562
"68",8.10627808944376
"69",8.04570481517632
"70",8.06379474656984
"71",8.31121300001977
"72",8.43669991267451
"73",8.25943844751536
"74",8.31554092749466
"75",8.16017459639598
"76",8.4763884216013
"77",8.47849110060446
"78",8.40564809620601
"79",8.31597626015319
"80",8.18273835077819
"81",8.10479455249577
"82",8.4252125344769
"83",8.12808763974089
"84",8.28897198205228
"85",8.18212513448277
"86",8.46605170353608
"87",8.53152386918552
"88",8.27243306852719
"89",8.01112764101769
"90",8.34303005721925
"91",8.27003945217545
"92",8.44220044385718
"93",8.64198093378723
"94",8.1604392369098
"95",8.53391226574506
"96",8.12886218668978
"97",8.3804245186147
"98",8.40821668592068
"99",8.21328270937653
"100",8.50909068945456
"101",8.45343857224683
"102",8.51609141394326
"103",8.31824874757681
"104",8.07393835487693
"105",8.22331194309428
"106",8.20711114489954
"107",8.1382344840565
"108",8.17365991451261
"109",8.02376182210031
"110",8.57177283221711
"111",8.31503466617685
"112",8.03509735941474
"113",8.50863903525989
"114",8.45900539538503
"115",8.98719807942454
"116",8.31441394423449
"117",8.39778761754337
"118",8.74272295566796
"119",8.65453582434717
"120",8.0635258564563
"121",8.32726580712906
"122",8.35034852743398
"123",8.46349144456974
"124",8.07690052734355
"125",8.0727115701327
"126",8.02129821926582
"127",8.35744846786525
"128",8.09309566895139
"129",8.78828838227371
"130",7.74766295131755
"131",8.1005236616193
"132",8.35801260440719
"133",8.0302716060522
"134",7.88253821107505
"135",7.87105415885023
"136",8.17596143853906
"137",8.33609341461734
"138",8.19268617670691
"139",8.2579432069762
"140",8.35903937012729
"141",8.07243368904865
"142",8.73324451408235
"143",8.35810935234252
"144",7.96800360065827
"145",8.30475238881207
"146",8.27666228828758
"147",7.86268200742541
"148",8.29964623719148
"149",8.1278708189981
"150",8.07345470967969
"151",8.05819224477372
"152",9.04773247462136
"153",8.18278189345728
"154",8.63884571629962
"155",8.24105688680202
"156",8.6128566500416
"157",8.04013665470819
"158",7.96945532450106
"159",8.21859573078524
"160",8.07350000355519
"161",8.27090649850544
"162",8.38966048946753
"163",7.96776632195739
"164",8.05196003719091
"165",8.57080774936592
"166",8.1094901213581
"167",8.33207396479883
"168",7.8119462375972
"169",8.01411851038103
"170",8.09836211452553
"171",8.22326686616642
"172",8.52152321428553
"173",8.46718640218225
"174",8.28367111892238
"175",8.19054343151406
"176",8.40776678928404
"177",8.27173306433125
"178",7.90396267937755
"179",8.10015110437042
"180",8.1924490728338
"181",8.16652909953922
"182",8.57276610922911
"183",8.33764433377518
"184",8.21934409135529
"185",8.43573353802789
"186",8.29437020141112
"187",8.50722670202179
"188",7.86458424646681
"189",8.35858287668734
"190",8.26475561446882
"191",8.19263978348092
"192",8.00245943806479
"193",8.03566661115935
"194",8.26356948521141
"195",7.99437582601823
"196",8.47123231147293
"197",8.3568191725178
"198",8.14494889216598
"199",8.25369675925676
"200",8.35912108241696
"201",8.58608818185337
"202",7.95513674971142
"203",8.33797561420466
"204",7.90838265131954
"205",8.54259316680439
"206",8.36669130630797
"207",7.87458797245556
"208",8.26238067852744
"209",8.17857881317759
"210",8.26057198464054
"211",8.38001066679034
"212",8.06948810013628
"213",8.04584298211058
"214",7.97864447177243
"215",7.92092166137432
"216",8.40200253098328
"217",8.38468224273426
"218",8.63705600238725
"219",8.22373773720128
"220",8.15055052334239
"221",8.52558015230731
"222",8.19006491059318
"223",8.45170265594275
"224",8.36326498162258
"225",8.23334914845911
"226",8.4871241682453
"227",8.31897385176316
"228",8.65302852289179
"229",8.14184005165816
"230",8.33824130383061
